Runner Episode: 1	Loss: 1.850068	Accuracy: 0.400 	 Current Training Data Per Class: 5
Runner Episode: 2	Loss: 2.888601	Accuracy: 0.200 	 Current Training Data Per Class: 5
Runner Episode: 3	Loss: 2.944885	Accuracy: 0.210 	 Current Training Data Per Class: 5
Runner Episode: 4	Loss: 3.157737	Accuracy: 0.200 	 Current Training Data Per Class: 5
Runner Episode: 5	Loss: 2.353665	Accuracy: 0.400 	 Current Training Data Per Class: 5
Runner Episode: 6	Loss: 3.480941	Accuracy: 0.200 	 Current Training Data Per Class: 5
Runner Episode: 7	Loss: 3.287244	Accuracy: 0.200 	 Current Training Data Per Class: 5
Runner Episode: 8	Loss: 3.160729	Accuracy: 0.200 	 Current Training Data Per Class: 5
Runner Episode: 9	Loss: 2.213449	Accuracy: 0.200 	 Current Training Data Per Class: 5
Runner Episode: 10	Loss: 3.641317	Accuracy: 0.200 	 Current Training Data Per Class: 5
Runner Episode: 11	Loss: 2.510829	Accuracy: 0.210 	 Current Training Data Per Class: 5
Runner Episode: 12	Loss: 2.456182	Accuracy: 0.400 	 Current Training Data Per Class: 5
Runner Episode: 13	Loss: 2.827763	Accuracy: 0.000 	 Current Training Data Per Class: 5
Runner Episode: 14	Loss: 3.026579	Accuracy: 0.400 	 Current Training Data Per Class: 5
Runner Episode: 15	Loss: 2.603288	Accuracy: 0.200 	 Current Training Data Per Class: 5
Runner Episode: 16	Loss: 2.498375	Accuracy: 0.340 	 Current Training Data Per Class: 5
Runner Episode: 17	Loss: 2.534580	Accuracy: 0.200 	 Current Training Data Per Class: 5
Runner Episode: 18	Loss: 2.192735	Accuracy: 0.400 	 Current Training Data Per Class: 5
Runner Episode: 19	Loss: 3.103466	Accuracy: 0.400 	 Current Training Data Per Class: 5
Runner Episode: 20	Loss: 2.958169	Accuracy: 0.260 	 Current Training Data Per Class: 5
