Runner Episode: 1	Loss: 3.669616	Accuracy: 0.000 	 Current Training Data Per Class: 40	Loss_2: 1.635945	Accuracy_2: 0.370	 Current Training Data Per Class_2: 70
Runner Episode: 2	Loss: 3.716293	Accuracy: 0.010 	 Current Training Data Per Class: 40	Loss_2: 1.959522	Accuracy_2: 0.350	 Current Training Data Per Class_2: 70
Runner Episode: 3	Loss: 1.667413	Accuracy: 0.450 	 Current Training Data Per Class: 40	Loss_2: 1.100893	Accuracy_2: 0.640	 Current Training Data Per Class_2: 70
Runner Episode: 4	Loss: 3.419432	Accuracy: 0.400 	 Current Training Data Per Class: 40	Loss_2: 26.835089	Accuracy_2: 0.000	 Current Training Data Per Class_2: 70
Runner Episode: 5	Loss: 2.534065	Accuracy: 0.200 	 Current Training Data Per Class: 40	Loss_2: 1.505857	Accuracy_2: 0.580	 Current Training Data Per Class_2: 70
Runner Episode: 6	Loss: 2.939864	Accuracy: 0.090 	 Current Training Data Per Class: 40	Loss_2: 1.208271	Accuracy_2: 0.610	 Current Training Data Per Class_2: 70
Runner Episode: 7	Loss: 4.157928	Accuracy: 0.000 	 Current Training Data Per Class: 40	Loss_2: 1.619498	Accuracy_2: 0.300	 Current Training Data Per Class_2: 70
Runner Episode: 8	Loss: 3.002009	Accuracy: 0.060 	 Current Training Data Per Class: 40	Loss_2: 1.622000	Accuracy_2: 0.440	 Current Training Data Per Class_2: 70
Runner Episode: 9	Loss: 3.335065	Accuracy: 0.000 	 Current Training Data Per Class: 40	Loss_2: 2.278688	Accuracy_2: 0.330	 Current Training Data Per Class_2: 70
Runner Episode: 10	Loss: 2.651143	Accuracy: 0.000 	 Current Training Data Per Class: 40	Loss_2: 1.858685	Accuracy_2: 0.210	 Current Training Data Per Class_2: 70
Runner Episode: 11	Loss: 3.976224	Accuracy: 0.000 	 Current Training Data Per Class: 40	Loss_2: 2.827067	Accuracy_2: 0.200	 Current Training Data Per Class_2: 70
Runner Episode: 12	Loss: 3.490936	Accuracy: 0.000 	 Current Training Data Per Class: 40	Loss_2: 1.589257	Accuracy_2: 0.450	 Current Training Data Per Class_2: 70
Runner Episode: 13	Loss: 2.586609	Accuracy: 0.020 	 Current Training Data Per Class: 40	Loss_2: 1.540663	Accuracy_2: 0.510	 Current Training Data Per Class_2: 70
Runner Episode: 14	Loss: 2.292866	Accuracy: 0.070 	 Current Training Data Per Class: 40	Loss_2: 1.239708	Accuracy_2: 0.480	 Current Training Data Per Class_2: 70
Runner Episode: 15	Loss: 2.571428	Accuracy: 0.060 	 Current Training Data Per Class: 40	Loss_2: 1.634615	Accuracy_2: 0.440	 Current Training Data Per Class_2: 70
Runner Episode: 16	Loss: 3.331785	Accuracy: 0.010 	 Current Training Data Per Class: 40	Loss_2: 1.165184	Accuracy_2: 0.680	 Current Training Data Per Class_2: 70
Runner Episode: 17	Loss: 3.100998	Accuracy: 0.000 	 Current Training Data Per Class: 40	Loss_2: 1.652631	Accuracy_2: 0.380	 Current Training Data Per Class_2: 70
Runner Episode: 18	Loss: 2.983165	Accuracy: 0.000 	 Current Training Data Per Class: 40	Loss_2: 1.240277	Accuracy_2: 0.480	 Current Training Data Per Class_2: 70
Runner Episode: 19	Loss: 3.066628	Accuracy: 0.000 	 Current Training Data Per Class: 40	Loss_2: 1.503625	Accuracy_2: 0.640	 Current Training Data Per Class_2: 70
Runner Episode: 20	Loss: 3.138250	Accuracy: 0.000 	 Current Training Data Per Class: 40	Loss_2: 1.488773	Accuracy_2: 0.390	 Current Training Data Per Class_2: 70
