Runner Episode: 1	Loss: 1.145927	Accuracy: 0.490 	 Current Training Data Per Class: 5
Runner Episode: 2	Loss: 2.058819	Accuracy: 0.230 	 Current Training Data Per Class: 5
Runner Episode: 3	Loss: 2.285685	Accuracy: 0.200 	 Current Training Data Per Class: 5
Runner Episode: 4	Loss: 2.149015	Accuracy: 0.200 	 Current Training Data Per Class: 5
Runner Episode: 5	Loss: 1.825437	Accuracy: 0.400 	 Current Training Data Per Class: 5
Runner Episode: 6	Loss: 2.590379	Accuracy: 0.200 	 Current Training Data Per Class: 5
Runner Episode: 7	Loss: 2.359281	Accuracy: 0.210 	 Current Training Data Per Class: 5
Runner Episode: 8	Loss: 2.457088	Accuracy: 0.200 	 Current Training Data Per Class: 5
Runner Episode: 9	Loss: 2.009950	Accuracy: 0.190 	 Current Training Data Per Class: 5
Runner Episode: 10	Loss: 2.807693	Accuracy: 0.200 	 Current Training Data Per Class: 5
Runner Episode: 11	Loss: 2.186150	Accuracy: 0.200 	 Current Training Data Per Class: 5
Runner Episode: 12	Loss: 1.758278	Accuracy: 0.420 	 Current Training Data Per Class: 5
Runner Episode: 13	Loss: 1.956233	Accuracy: 0.230 	 Current Training Data Per Class: 5
Runner Episode: 14	Loss: 2.039692	Accuracy: 0.400 	 Current Training Data Per Class: 5
Runner Episode: 15	Loss: 2.227705	Accuracy: 0.190 	 Current Training Data Per Class: 5
Runner Episode: 16	Loss: 2.306943	Accuracy: 0.230 	 Current Training Data Per Class: 5
Runner Episode: 17	Loss: 2.039801	Accuracy: 0.190 	 Current Training Data Per Class: 5
Runner Episode: 18	Loss: 1.547343	Accuracy: 0.400 	 Current Training Data Per Class: 5
Runner Episode: 19	Loss: 2.329689	Accuracy: 0.310 	 Current Training Data Per Class: 5
Runner Episode: 20	Loss: 2.214048	Accuracy: 0.200 	 Current Training Data Per Class: 5
