Runner Episode: 1	Loss: 3.930245	Accuracy: 0.000 	 Current Training Data Per Class: 5
Runner Episode: 2	Loss: 3.874673	Accuracy: 0.000 	 Current Training Data Per Class: 5
Runner Episode: 3	Loss: 3.788238	Accuracy: 0.020 	 Current Training Data Per Class: 5
Runner Episode: 4	Loss: 3.989913	Accuracy: 0.000 	 Current Training Data Per Class: 5
Runner Episode: 5	Loss: 3.737721	Accuracy: 0.020 	 Current Training Data Per Class: 5
Runner Episode: 6	Loss: 3.931593	Accuracy: 0.000 	 Current Training Data Per Class: 5
Runner Episode: 7	Loss: 3.769542	Accuracy: 0.130 	 Current Training Data Per Class: 5
Runner Episode: 8	Loss: 3.972518	Accuracy: 0.000 	 Current Training Data Per Class: 5
Runner Episode: 9	Loss: 3.816565	Accuracy: 0.060 	 Current Training Data Per Class: 5
Runner Episode: 10	Loss: 3.872853	Accuracy: 0.000 	 Current Training Data Per Class: 5
Runner Episode: 11	Loss: 3.895082	Accuracy: 0.000 	 Current Training Data Per Class: 5
Runner Episode: 12	Loss: 3.793433	Accuracy: 0.040 	 Current Training Data Per Class: 5
Runner Episode: 13	Loss: 3.781712	Accuracy: 0.010 	 Current Training Data Per Class: 5
Runner Episode: 14	Loss: 3.944368	Accuracy: 0.000 	 Current Training Data Per Class: 5
Runner Episode: 15	Loss: 3.804920	Accuracy: 0.020 	 Current Training Data Per Class: 5
Runner Episode: 16	Loss: 3.823616	Accuracy: 0.000 	 Current Training Data Per Class: 5
Runner Episode: 17	Loss: 3.785366	Accuracy: 0.000 	 Current Training Data Per Class: 5
Runner Episode: 18	Loss: 3.920688	Accuracy: 0.020 	 Current Training Data Per Class: 5
Runner Episode: 19	Loss: 3.843495	Accuracy: 0.000 	 Current Training Data Per Class: 5
Runner Episode: 20	Loss: 3.922915	Accuracy: 0.000 	 Current Training Data Per Class: 5
