Runner Episode: 1	Loss: 1.900328	Accuracy: 0.390 	 Current Training Data Per Class: 5
Runner Episode: 2	Loss: 2.719992	Accuracy: 0.180 	 Current Training Data Per Class: 5
Runner Episode: 3	Loss: 2.839655	Accuracy: 0.190 	 Current Training Data Per Class: 5
Runner Episode: 4	Loss: 3.502993	Accuracy: 0.020 	 Current Training Data Per Class: 5
Runner Episode: 5	Loss: 2.233833	Accuracy: 0.320 	 Current Training Data Per Class: 5
Runner Episode: 6	Loss: 3.880502	Accuracy: 0.150 	 Current Training Data Per Class: 5
Runner Episode: 7	Loss: 3.562932	Accuracy: 0.200 	 Current Training Data Per Class: 5
Runner Episode: 8	Loss: 3.525516	Accuracy: 0.200 	 Current Training Data Per Class: 5
Runner Episode: 9	Loss: 2.499029	Accuracy: 0.150 	 Current Training Data Per Class: 5
Runner Episode: 10	Loss: 3.813985	Accuracy: 0.200 	 Current Training Data Per Class: 5
Runner Episode: 11	Loss: 2.977266	Accuracy: 0.160 	 Current Training Data Per Class: 5
Runner Episode: 12	Loss: 2.327566	Accuracy: 0.400 	 Current Training Data Per Class: 5
Runner Episode: 13	Loss: 2.598581	Accuracy: 0.200 	 Current Training Data Per Class: 5
Runner Episode: 14	Loss: 2.910858	Accuracy: 0.400 	 Current Training Data Per Class: 5
Runner Episode: 15	Loss: 2.853362	Accuracy: 0.190 	 Current Training Data Per Class: 5
Runner Episode: 16	Loss: 3.080957	Accuracy: 0.200 	 Current Training Data Per Class: 5
Runner Episode: 17	Loss: 2.523495	Accuracy: 0.150 	 Current Training Data Per Class: 5
Runner Episode: 18	Loss: 2.591443	Accuracy: 0.400 	 Current Training Data Per Class: 5
Runner Episode: 19	Loss: 3.577817	Accuracy: 0.400 	 Current Training Data Per Class: 5
Runner Episode: 20	Loss: 2.868363	Accuracy: 0.190 	 Current Training Data Per Class: 5
