Runner Episode: 1	Loss: 3.890214	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 2	Loss: 3.875710	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 3	Loss: 3.775909	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 4	Loss: 3.966807	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 5	Loss: 3.752493	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 6	Loss: 3.885377	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 7	Loss: 3.796234	Accuracy: 0.080 	 Current Training Data Per Class: 0
Runner Episode: 8	Loss: 3.920914	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 9	Loss: 3.765097	Accuracy: 0.040 	 Current Training Data Per Class: 0
Runner Episode: 10	Loss: 3.872925	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 11	Loss: 3.888928	Accuracy: 0.100 	 Current Training Data Per Class: 0
Runner Episode: 12	Loss: 3.767573	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 13	Loss: 3.739627	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 14	Loss: 3.938835	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 15	Loss: 3.813873	Accuracy: 0.060 	 Current Training Data Per Class: 0
Runner Episode: 16	Loss: 3.902452	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 17	Loss: 3.801564	Accuracy: 0.010 	 Current Training Data Per Class: 0
Runner Episode: 18	Loss: 3.874804	Accuracy: 0.020 	 Current Training Data Per Class: 0
Runner Episode: 19	Loss: 3.833666	Accuracy: 0.020 	 Current Training Data Per Class: 0
Runner Episode: 20	Loss: 3.929120	Accuracy: 0.000 	 Current Training Data Per Class: 0
