Runner Episode: 1	Loss: 2.603939	Accuracy: 0.200 	 Current Training Data Per Class: 20
Runner Episode: 2	Loss: 2.930167	Accuracy: 0.200 	 Current Training Data Per Class: 20
Runner Episode: 3	Loss: 8.341935	Accuracy: 0.400 	 Current Training Data Per Class: 20
Runner Episode: 4	Loss: 2.951813	Accuracy: 0.340 	 Current Training Data Per Class: 20
Runner Episode: 5	Loss: 2.503958	Accuracy: 0.200 	 Current Training Data Per Class: 20
Runner Episode: 6	Loss: 6.184871	Accuracy: 0.200 	 Current Training Data Per Class: 20
Runner Episode: 7	Loss: 4.900354	Accuracy: 0.300 	 Current Training Data Per Class: 20
Runner Episode: 8	Loss: 3.046430	Accuracy: 0.200 	 Current Training Data Per Class: 20
Runner Episode: 9	Loss: 6.748359	Accuracy: 0.200 	 Current Training Data Per Class: 20
Runner Episode: 10	Loss: 2.765416	Accuracy: 0.240 	 Current Training Data Per Class: 20
Runner Episode: 11	Loss: 4.736083	Accuracy: 0.200 	 Current Training Data Per Class: 20
Runner Episode: 12	Loss: 3.086563	Accuracy: 0.010 	 Current Training Data Per Class: 20
Runner Episode: 13	Loss: 7.289836	Accuracy: 0.200 	 Current Training Data Per Class: 20
Runner Episode: 14	Loss: 3.458120	Accuracy: 0.200 	 Current Training Data Per Class: 20
Runner Episode: 15	Loss: 2.680472	Accuracy: 0.310 	 Current Training Data Per Class: 20
Runner Episode: 16	Loss: 5.072627	Accuracy: 0.200 	 Current Training Data Per Class: 20
Runner Episode: 17	Loss: 1.976640	Accuracy: 0.450 	 Current Training Data Per Class: 20
Runner Episode: 18	Loss: 3.538370	Accuracy: 0.420 	 Current Training Data Per Class: 20
Runner Episode: 19	Loss: 3.594867	Accuracy: 0.200 	 Current Training Data Per Class: 20
Runner Episode: 20	Loss: 3.295460	Accuracy: 0.200 	 Current Training Data Per Class: 20
