Runner Episode: 1	Loss: 7.637209	Accuracy: 0.090 	 Current Training Data Per Class: 30
Runner Episode: 2	Loss: 9.590113	Accuracy: 0.200 	 Current Training Data Per Class: 30
Runner Episode: 3	Loss: 2.070707	Accuracy: 0.400 	 Current Training Data Per Class: 30
Runner Episode: 4	Loss: 3.558743	Accuracy: 0.400 	 Current Training Data Per Class: 30
Runner Episode: 5	Loss: 3.643792	Accuracy: 0.200 	 Current Training Data Per Class: 30
Runner Episode: 6	Loss: 3.145111	Accuracy: 0.200 	 Current Training Data Per Class: 30
Runner Episode: 7	Loss: 2.215301	Accuracy: 0.200 	 Current Training Data Per Class: 30
Runner Episode: 8	Loss: 28.358545	Accuracy: 0.200 	 Current Training Data Per Class: 30
Runner Episode: 9	Loss: 6.467747	Accuracy: 0.400 	 Current Training Data Per Class: 30
Runner Episode: 10	Loss: 2.437423	Accuracy: 0.250 	 Current Training Data Per Class: 30
Runner Episode: 11	Loss: 3.572566	Accuracy: 0.230 	 Current Training Data Per Class: 30
Runner Episode: 12	Loss: 2.916562	Accuracy: 0.230 	 Current Training Data Per Class: 30
Runner Episode: 13	Loss: 2.819494	Accuracy: 0.200 	 Current Training Data Per Class: 30
Runner Episode: 14	Loss: 3.387146	Accuracy: 0.200 	 Current Training Data Per Class: 30
Runner Episode: 15	Loss: 4.513724	Accuracy: 0.200 	 Current Training Data Per Class: 30
Runner Episode: 16	Loss: 2.944434	Accuracy: 0.200 	 Current Training Data Per Class: 30
Runner Episode: 17	Loss: 3.539326	Accuracy: 0.200 	 Current Training Data Per Class: 30
Runner Episode: 18	Loss: 4.660586	Accuracy: 0.200 	 Current Training Data Per Class: 30
Runner Episode: 19	Loss: 3.451608	Accuracy: 0.120 	 Current Training Data Per Class: 30
Runner Episode: 20	Loss: 3.114213	Accuracy: 0.200 	 Current Training Data Per Class: 30
