Runner Episode: 1	Loss: 2.876648	Accuracy: 0.100 	 Current Training Data Per Class: 10
Runner Episode: 2	Loss: 2.346944	Accuracy: 0.100 	 Current Training Data Per Class: 10
Runner Episode: 3	Loss: 2.796826	Accuracy: 0.100 	 Current Training Data Per Class: 10
Runner Episode: 4	Loss: 2.505006	Accuracy: 0.100 	 Current Training Data Per Class: 10
Runner Episode: 5	Loss: 2.348128	Accuracy: 0.095 	 Current Training Data Per Class: 10
Runner Episode: 6	Loss: 2.716127	Accuracy: 0.100 	 Current Training Data Per Class: 10
Runner Episode: 7	Loss: 2.383330	Accuracy: 0.100 	 Current Training Data Per Class: 10
Runner Episode: 8	Loss: 2.598786	Accuracy: 0.105 	 Current Training Data Per Class: 10
Runner Episode: 9	Loss: 2.496548	Accuracy: 0.100 	 Current Training Data Per Class: 10
Runner Episode: 10	Loss: 2.462568	Accuracy: 0.100 	 Current Training Data Per Class: 10
Runner Episode: 11	Loss: 3.567703	Accuracy: 0.100 	 Current Training Data Per Class: 10
Runner Episode: 12	Loss: 2.912483	Accuracy: 0.100 	 Current Training Data Per Class: 10
Runner Episode: 13	Loss: 2.493373	Accuracy: 0.100 	 Current Training Data Per Class: 10
Runner Episode: 14	Loss: 2.756214	Accuracy: 0.100 	 Current Training Data Per Class: 10
Runner Episode: 15	Loss: 2.321276	Accuracy: 0.075 	 Current Training Data Per Class: 10
Runner Episode: 16	Loss: 2.320787	Accuracy: 0.100 	 Current Training Data Per Class: 10
Runner Episode: 17	Loss: 2.396636	Accuracy: 0.110 	 Current Training Data Per Class: 10
Runner Episode: 18	Loss: 2.801491	Accuracy: 0.100 	 Current Training Data Per Class: 10
Runner Episode: 19	Loss: 2.560262	Accuracy: 0.100 	 Current Training Data Per Class: 10
Runner Episode: 20	Loss: 2.490654	Accuracy: 0.100 	 Current Training Data Per Class: 10
