Runner Episode: 1	Loss: 1.427991	Accuracy: 0.440 	 Current Training Data Per Class: 5
Runner Episode: 2	Loss: 2.584572	Accuracy: 0.240 	 Current Training Data Per Class: 5
Runner Episode: 3	Loss: 2.337490	Accuracy: 0.100 	 Current Training Data Per Class: 5
Runner Episode: 4	Loss: 2.363389	Accuracy: 0.200 	 Current Training Data Per Class: 5
Runner Episode: 5	Loss: 1.822154	Accuracy: 0.410 	 Current Training Data Per Class: 5
Runner Episode: 6	Loss: 2.282531	Accuracy: 0.200 	 Current Training Data Per Class: 5
Runner Episode: 7	Loss: 2.352251	Accuracy: 0.170 	 Current Training Data Per Class: 5
Runner Episode: 8	Loss: 2.203137	Accuracy: 0.220 	 Current Training Data Per Class: 5
Runner Episode: 9	Loss: 2.041914	Accuracy: 0.200 	 Current Training Data Per Class: 5
Runner Episode: 10	Loss: 2.249603	Accuracy: 0.200 	 Current Training Data Per Class: 5
Runner Episode: 11	Loss: 2.106305	Accuracy: 0.200 	 Current Training Data Per Class: 5
Runner Episode: 12	Loss: 1.759948	Accuracy: 0.420 	 Current Training Data Per Class: 5
Runner Episode: 13	Loss: 2.014405	Accuracy: 0.250 	 Current Training Data Per Class: 5
Runner Episode: 14	Loss: 1.718862	Accuracy: 0.400 	 Current Training Data Per Class: 5
Runner Episode: 15	Loss: 2.231769	Accuracy: 0.220 	 Current Training Data Per Class: 5
Runner Episode: 16	Loss: 2.101594	Accuracy: 0.200 	 Current Training Data Per Class: 5
Runner Episode: 17	Loss: 2.141045	Accuracy: 0.170 	 Current Training Data Per Class: 5
Runner Episode: 18	Loss: 1.557287	Accuracy: 0.400 	 Current Training Data Per Class: 5
Runner Episode: 19	Loss: 1.956121	Accuracy: 0.200 	 Current Training Data Per Class: 5
Runner Episode: 20	Loss: 2.432820	Accuracy: 0.200 	 Current Training Data Per Class: 5
