Runner Episode: 1	Loss: 3.640796	Accuracy: 0.200 	 Current Training Data Per Class: 50
Runner Episode: 2	Loss: 3.167716	Accuracy: 0.200 	 Current Training Data Per Class: 50
Runner Episode: 3	Loss: 3.597965	Accuracy: 0.200 	 Current Training Data Per Class: 50
Runner Episode: 4	Loss: 3.527327	Accuracy: 0.200 	 Current Training Data Per Class: 50
Runner Episode: 5	Loss: 3.685407	Accuracy: 0.200 	 Current Training Data Per Class: 50
Runner Episode: 6	Loss: 3.419593	Accuracy: 0.200 	 Current Training Data Per Class: 50
Runner Episode: 7	Loss: 3.615955	Accuracy: 0.200 	 Current Training Data Per Class: 50
Runner Episode: 8	Loss: 3.544943	Accuracy: 0.200 	 Current Training Data Per Class: 50
Runner Episode: 9	Loss: 3.585813	Accuracy: 0.200 	 Current Training Data Per Class: 50
Runner Episode: 10	Loss: 3.531173	Accuracy: 0.400 	 Current Training Data Per Class: 50
Runner Episode: 11	Loss: 3.621486	Accuracy: 0.200 	 Current Training Data Per Class: 50
Runner Episode: 12	Loss: 3.327239	Accuracy: 0.200 	 Current Training Data Per Class: 50
Runner Episode: 13	Loss: 3.590668	Accuracy: 0.200 	 Current Training Data Per Class: 50
Runner Episode: 14	Loss: 3.484948	Accuracy: 0.200 	 Current Training Data Per Class: 50
Runner Episode: 15	Loss: 3.629404	Accuracy: 0.200 	 Current Training Data Per Class: 50
Runner Episode: 16	Loss: 2.954258	Accuracy: 0.600 	 Current Training Data Per Class: 50
Runner Episode: 17	Loss: 3.544450	Accuracy: 0.400 	 Current Training Data Per Class: 50
Runner Episode: 18	Loss: 3.517664	Accuracy: 0.200 	 Current Training Data Per Class: 50
Runner Episode: 19	Loss: 3.565164	Accuracy: 0.200 	 Current Training Data Per Class: 50
Runner Episode: 20	Loss: 3.610774	Accuracy: 0.210 	 Current Training Data Per Class: 50
