Runner Episode: 1	Loss: 3.758926	Accuracy: 0.020 	 Current Training Data Per Class: 0
Runner Episode: 2	Loss: 3.824731	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 3	Loss: 3.946149	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 4	Loss: 3.801459	Accuracy: 0.210 	 Current Training Data Per Class: 0
Runner Episode: 5	Loss: 3.890123	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 6	Loss: 3.782100	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 7	Loss: 3.845691	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 8	Loss: 3.874331	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 9	Loss: 3.726454	Accuracy: 0.050 	 Current Training Data Per Class: 0
Runner Episode: 10	Loss: 3.874954	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 11	Loss: 3.898115	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 12	Loss: 3.961037	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 13	Loss: 3.957142	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 14	Loss: 3.912035	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 15	Loss: 3.885074	Accuracy: 0.010 	 Current Training Data Per Class: 0
Runner Episode: 16	Loss: 3.914453	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 17	Loss: 3.912447	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 18	Loss: 3.880018	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 19	Loss: 4.009990	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 20	Loss: 3.911276	Accuracy: 0.200 	 Current Training Data Per Class: 0
