Runner Episode: 1	Loss: 1.205963	Accuracy: 0.640 	 Current Training Data Per Class: 10
Runner Episode: 2	Loss: 2.273652	Accuracy: 0.340 	 Current Training Data Per Class: 10
Runner Episode: 3	Loss: 2.344794	Accuracy: 0.190 	 Current Training Data Per Class: 10
Runner Episode: 4	Loss: 1.951983	Accuracy: 0.190 	 Current Training Data Per Class: 10
Runner Episode: 5	Loss: 1.590705	Accuracy: 0.520 	 Current Training Data Per Class: 10
Runner Episode: 6	Loss: 1.995386	Accuracy: 0.410 	 Current Training Data Per Class: 10
Runner Episode: 7	Loss: 2.342020	Accuracy: 0.190 	 Current Training Data Per Class: 10
Runner Episode: 8	Loss: 2.119217	Accuracy: 0.220 	 Current Training Data Per Class: 10
Runner Episode: 9	Loss: 2.334538	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 10	Loss: 2.102282	Accuracy: 0.190 	 Current Training Data Per Class: 10
Runner Episode: 11	Loss: 2.220733	Accuracy: 0.190 	 Current Training Data Per Class: 10
Runner Episode: 12	Loss: 1.605622	Accuracy: 0.410 	 Current Training Data Per Class: 10
Runner Episode: 13	Loss: 2.435107	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 14	Loss: 1.975417	Accuracy: 0.320 	 Current Training Data Per Class: 10
Runner Episode: 15	Loss: 2.127977	Accuracy: 0.320 	 Current Training Data Per Class: 10
Runner Episode: 16	Loss: 1.512147	Accuracy: 0.350 	 Current Training Data Per Class: 10
Runner Episode: 17	Loss: 2.435523	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 18	Loss: 1.559923	Accuracy: 0.400 	 Current Training Data Per Class: 10
Runner Episode: 19	Loss: 2.163215	Accuracy: 0.350 	 Current Training Data Per Class: 10
Runner Episode: 20	Loss: 2.530540	Accuracy: 0.200 	 Current Training Data Per Class: 10
