Runner Episode: 1	Loss: 3.744210	Accuracy: 0.000 	 Current Training Data Per Class: 40	Loss_2: 1.494291	Accuracy_2: 0.580	 Current Training Data Per Class_2: 20
Runner Episode: 2	Loss: 3.882182	Accuracy: 0.000 	 Current Training Data Per Class: 40	Loss_2: 1.827609	Accuracy_2: 0.370	 Current Training Data Per Class_2: 20
Runner Episode: 3	Loss: 4.105859	Accuracy: 0.000 	 Current Training Data Per Class: 40	Loss_2: 1.428934	Accuracy_2: 0.620	 Current Training Data Per Class_2: 20
Runner Episode: 4	Loss: 3.348871	Accuracy: 0.000 	 Current Training Data Per Class: 40	Loss_2: 1.823117	Accuracy_2: 0.440	 Current Training Data Per Class_2: 20
Runner Episode: 5	Loss: 4.321059	Accuracy: 0.000 	 Current Training Data Per Class: 40	Loss_2: 1.432238	Accuracy_2: 0.620	 Current Training Data Per Class_2: 20
Runner Episode: 6	Loss: 3.778867	Accuracy: 0.000 	 Current Training Data Per Class: 40	Loss_2: 1.139363	Accuracy_2: 0.700	 Current Training Data Per Class_2: 20
Runner Episode: 7	Loss: 4.072222	Accuracy: 0.000 	 Current Training Data Per Class: 40	Loss_2: 1.152171	Accuracy_2: 0.640	 Current Training Data Per Class_2: 20
Runner Episode: 8	Loss: 3.385534	Accuracy: 0.000 	 Current Training Data Per Class: 40	Loss_2: 1.490336	Accuracy_2: 0.520	 Current Training Data Per Class_2: 20
Runner Episode: 9	Loss: 3.676461	Accuracy: 0.000 	 Current Training Data Per Class: 40	Loss_2: 1.285105	Accuracy_2: 0.690	 Current Training Data Per Class_2: 20
Runner Episode: 10	Loss: 3.872111	Accuracy: 0.000 	 Current Training Data Per Class: 40	Loss_2: 1.627747	Accuracy_2: 0.570	 Current Training Data Per Class_2: 20
Runner Episode: 11	Loss: 3.578474	Accuracy: 0.000 	 Current Training Data Per Class: 40	Loss_2: 1.431428	Accuracy_2: 0.620	 Current Training Data Per Class_2: 20
Runner Episode: 12	Loss: 3.704862	Accuracy: 0.000 	 Current Training Data Per Class: 40	Loss_2: 1.380999	Accuracy_2: 0.610	 Current Training Data Per Class_2: 20
Runner Episode: 13	Loss: 3.931801	Accuracy: 0.000 	 Current Training Data Per Class: 40	Loss_2: 1.475125	Accuracy_2: 0.560	 Current Training Data Per Class_2: 20
Runner Episode: 14	Loss: 3.864448	Accuracy: 0.000 	 Current Training Data Per Class: 40	Loss_2: 1.573907	Accuracy_2: 0.570	 Current Training Data Per Class_2: 20
Runner Episode: 15	Loss: 3.984817	Accuracy: 0.000 	 Current Training Data Per Class: 40	Loss_2: 1.722285	Accuracy_2: 0.500	 Current Training Data Per Class_2: 20
Runner Episode: 16	Loss: 3.936684	Accuracy: 0.000 	 Current Training Data Per Class: 40	Loss_2: 1.472668	Accuracy_2: 0.490	 Current Training Data Per Class_2: 20
Runner Episode: 17	Loss: 3.983956	Accuracy: 0.000 	 Current Training Data Per Class: 40	Loss_2: 1.251737	Accuracy_2: 0.530	 Current Training Data Per Class_2: 20
Runner Episode: 18	Loss: 3.967178	Accuracy: 0.000 	 Current Training Data Per Class: 40	Loss_2: 1.517432	Accuracy_2: 0.450	 Current Training Data Per Class_2: 20
Runner Episode: 19	Loss: 3.856936	Accuracy: 0.000 	 Current Training Data Per Class: 40	Loss_2: 1.628913	Accuracy_2: 0.420	 Current Training Data Per Class_2: 20
Runner Episode: 20	Loss: 4.187312	Accuracy: 0.000 	 Current Training Data Per Class: 40	Loss_2: 1.354053	Accuracy_2: 0.620	 Current Training Data Per Class_2: 20
