Runner Episode: 1	Loss: 3.887010	Accuracy: 0.020 	 Current Training Data Per Class: 0
Runner Episode: 2	Loss: 3.886810	Accuracy: 0.030 	 Current Training Data Per Class: 0
Runner Episode: 3	Loss: 3.949430	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 4	Loss: 3.955034	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 5	Loss: 3.890162	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 6	Loss: 3.908388	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 7	Loss: 3.846860	Accuracy: 0.010 	 Current Training Data Per Class: 0
Runner Episode: 8	Loss: 3.872390	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 9	Loss: 3.909462	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 10	Loss: 3.792937	Accuracy: 0.160 	 Current Training Data Per Class: 0
Runner Episode: 11	Loss: 3.879402	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 12	Loss: 3.873948	Accuracy: 0.160 	 Current Training Data Per Class: 0
Runner Episode: 13	Loss: 3.820882	Accuracy: 0.070 	 Current Training Data Per Class: 0
Runner Episode: 14	Loss: 3.890371	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 15	Loss: 3.724703	Accuracy: 0.190 	 Current Training Data Per Class: 0
Runner Episode: 16	Loss: 3.855258	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 17	Loss: 3.954468	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 18	Loss: 3.802979	Accuracy: 0.040 	 Current Training Data Per Class: 0
Runner Episode: 19	Loss: 3.800624	Accuracy: 0.070 	 Current Training Data Per Class: 0
Runner Episode: 20	Loss: 3.690120	Accuracy: 0.170 	 Current Training Data Per Class: 0
