Runner Episode: 1	Loss: 3.802609	Accuracy: 0.010 	 Current Training Data Per Class: 0
Runner Episode: 2	Loss: 4.005564	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 3	Loss: 3.853855	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 4	Loss: 3.862396	Accuracy: 0.040 	 Current Training Data Per Class: 0
Runner Episode: 5	Loss: 3.862157	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 6	Loss: 3.832065	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 7	Loss: 3.778360	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 8	Loss: 3.836917	Accuracy: 0.010 	 Current Training Data Per Class: 0
Runner Episode: 9	Loss: 3.944821	Accuracy: 0.010 	 Current Training Data Per Class: 0
Runner Episode: 10	Loss: 3.972698	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 11	Loss: 3.797899	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 12	Loss: 3.870429	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 13	Loss: 3.937071	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 14	Loss: 3.784296	Accuracy: 0.080 	 Current Training Data Per Class: 0
Runner Episode: 15	Loss: 3.850016	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 16	Loss: 3.854777	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 17	Loss: 3.998972	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 18	Loss: 3.815995	Accuracy: 0.380 	 Current Training Data Per Class: 0
Runner Episode: 19	Loss: 3.889617	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 20	Loss: 3.898573	Accuracy: 0.000 	 Current Training Data Per Class: 0
