Runner Episode: 1	Loss: 3.759192	Accuracy: 0.100 	 Current Training Data Per Class: 0
Runner Episode: 2	Loss: 3.883983	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 3	Loss: 3.816797	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 4	Loss: 3.939032	Accuracy: 0.020 	 Current Training Data Per Class: 0
Runner Episode: 5	Loss: 3.862432	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 6	Loss: 3.931995	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 7	Loss: 3.926259	Accuracy: 0.010 	 Current Training Data Per Class: 0
Runner Episode: 8	Loss: 3.880531	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 9	Loss: 3.919108	Accuracy: 0.030 	 Current Training Data Per Class: 0
Runner Episode: 10	Loss: 3.827843	Accuracy: 0.130 	 Current Training Data Per Class: 0
Runner Episode: 11	Loss: 3.720258	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 12	Loss: 3.857559	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 13	Loss: 3.908470	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 14	Loss: 4.079966	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 15	Loss: 3.924431	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 16	Loss: 3.912589	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 17	Loss: 3.878556	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 18	Loss: 4.037508	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 19	Loss: 3.895380	Accuracy: 0.010 	 Current Training Data Per Class: 0
Runner Episode: 20	Loss: 3.938165	Accuracy: 0.000 	 Current Training Data Per Class: 0
