Runner Episode: 1	Loss: 3.885932	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 2	Loss: 3.778077	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 3	Loss: 3.858222	Accuracy: 0.010 	 Current Training Data Per Class: 0
Runner Episode: 4	Loss: 3.928154	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 5	Loss: 3.790122	Accuracy: 0.060 	 Current Training Data Per Class: 0
Runner Episode: 6	Loss: 3.820462	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 7	Loss: 3.860924	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 8	Loss: 3.761181	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 9	Loss: 3.859081	Accuracy: 0.010 	 Current Training Data Per Class: 0
Runner Episode: 10	Loss: 3.801915	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 11	Loss: 3.792125	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 12	Loss: 3.927729	Accuracy: 0.020 	 Current Training Data Per Class: 0
Runner Episode: 13	Loss: 3.875170	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 14	Loss: 3.765419	Accuracy: 0.170 	 Current Training Data Per Class: 0
Runner Episode: 15	Loss: 3.796312	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 16	Loss: 3.835199	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 17	Loss: 3.778211	Accuracy: 0.020 	 Current Training Data Per Class: 0
Runner Episode: 18	Loss: 3.972321	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 19	Loss: 3.820129	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 20	Loss: 3.766200	Accuracy: 0.180 	 Current Training Data Per Class: 0
