Runner Episode: 1	Loss: 3.169732	Accuracy: 0.100 	 Current Training Data Per Class: 10
Runner Episode: 2	Loss: 2.502588	Accuracy: 0.100 	 Current Training Data Per Class: 10
Runner Episode: 3	Loss: 2.730318	Accuracy: 0.100 	 Current Training Data Per Class: 10
Runner Episode: 4	Loss: 2.515127	Accuracy: 0.110 	 Current Training Data Per Class: 10
Runner Episode: 5	Loss: 2.803477	Accuracy: 0.100 	 Current Training Data Per Class: 10
Runner Episode: 6	Loss: 2.721236	Accuracy: 0.100 	 Current Training Data Per Class: 10
Runner Episode: 7	Loss: 2.451299	Accuracy: 0.130 	 Current Training Data Per Class: 10
Runner Episode: 8	Loss: 2.887805	Accuracy: 0.140 	 Current Training Data Per Class: 10
Runner Episode: 9	Loss: 2.954720	Accuracy: 0.140 	 Current Training Data Per Class: 10
Runner Episode: 10	Loss: 2.538150	Accuracy: 0.100 	 Current Training Data Per Class: 10
Runner Episode: 11	Loss: 2.478826	Accuracy: 0.070 	 Current Training Data Per Class: 10
Runner Episode: 12	Loss: 3.301745	Accuracy: 0.100 	 Current Training Data Per Class: 10
Runner Episode: 13	Loss: 2.386201	Accuracy: 0.100 	 Current Training Data Per Class: 10
Runner Episode: 14	Loss: 3.808294	Accuracy: 0.100 	 Current Training Data Per Class: 10
Runner Episode: 15	Loss: 4.024300	Accuracy: 0.100 	 Current Training Data Per Class: 10
Runner Episode: 16	Loss: 2.296117	Accuracy: 0.110 	 Current Training Data Per Class: 10
Runner Episode: 17	Loss: 2.874650	Accuracy: 0.170 	 Current Training Data Per Class: 10
Runner Episode: 18	Loss: 2.720428	Accuracy: 0.125 	 Current Training Data Per Class: 10
Runner Episode: 19	Loss: 3.027254	Accuracy: 0.070 	 Current Training Data Per Class: 10
Runner Episode: 20	Loss: 2.446744	Accuracy: 0.090 	 Current Training Data Per Class: 10
