Runner Episode: 1	Loss: 3.825690	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 2	Loss: 3.868882	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 3	Loss: 3.951941	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 4	Loss: 3.870592	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 5	Loss: 3.822826	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 6	Loss: 3.703310	Accuracy: 0.200 	 Current Training Data Per Class: 0
Runner Episode: 7	Loss: 3.852756	Accuracy: 0.050 	 Current Training Data Per Class: 0
Runner Episode: 8	Loss: 3.835713	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 9	Loss: 3.760269	Accuracy: 0.130 	 Current Training Data Per Class: 0
Runner Episode: 10	Loss: 3.913811	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 11	Loss: 3.962179	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 12	Loss: 3.931944	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 13	Loss: 3.821750	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 14	Loss: 3.997355	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 15	Loss: 3.788253	Accuracy: 0.020 	 Current Training Data Per Class: 0
Runner Episode: 16	Loss: 3.888952	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 17	Loss: 3.978735	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 18	Loss: 3.779781	Accuracy: 0.010 	 Current Training Data Per Class: 0
Runner Episode: 19	Loss: 3.868438	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 20	Loss: 3.892949	Accuracy: 0.000 	 Current Training Data Per Class: 0
