Runner Episode: 1	Loss: 1.967831	Accuracy: 0.400 	 Current Training Data Per Class: 10
Runner Episode: 2	Loss: 2.715162	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 3	Loss: 2.926630	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 4	Loss: 3.964430	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 5	Loss: 2.873006	Accuracy: 0.400 	 Current Training Data Per Class: 10
Runner Episode: 6	Loss: 3.067335	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 7	Loss: 2.993884	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 8	Loss: 2.781784	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 9	Loss: 3.039350	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 10	Loss: 3.275601	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 11	Loss: 3.016747	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 12	Loss: 1.598047	Accuracy: 0.400 	 Current Training Data Per Class: 10
Runner Episode: 13	Loss: 2.934571	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 14	Loss: 1.852877	Accuracy: 0.400 	 Current Training Data Per Class: 10
Runner Episode: 15	Loss: 3.464155	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 16	Loss: 2.494276	Accuracy: 0.220 	 Current Training Data Per Class: 10
Runner Episode: 17	Loss: 3.790688	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 18	Loss: 1.496654	Accuracy: 0.380 	 Current Training Data Per Class: 10
Runner Episode: 19	Loss: 1.981898	Accuracy: 0.370 	 Current Training Data Per Class: 10
Runner Episode: 20	Loss: 5.514348	Accuracy: 0.200 	 Current Training Data Per Class: 10
