Runner Episode: 1	Loss: 3.892466	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 2	Loss: 3.883926	Accuracy: 0.040 	 Current Training Data Per Class: 0
Runner Episode: 3	Loss: 3.924381	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 4	Loss: 3.899559	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 5	Loss: 3.809193	Accuracy: 0.140 	 Current Training Data Per Class: 0
Runner Episode: 6	Loss: 4.013109	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 7	Loss: 3.798824	Accuracy: 0.050 	 Current Training Data Per Class: 0
Runner Episode: 8	Loss: 3.857483	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 9	Loss: 3.866585	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 10	Loss: 3.816188	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 11	Loss: 3.839720	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 12	Loss: 3.887625	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 13	Loss: 3.832477	Accuracy: 0.020 	 Current Training Data Per Class: 0
Runner Episode: 14	Loss: 3.864210	Accuracy: 0.010 	 Current Training Data Per Class: 0
Runner Episode: 15	Loss: 3.912949	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 16	Loss: 3.829588	Accuracy: 0.200 	 Current Training Data Per Class: 0
Runner Episode: 17	Loss: 3.821112	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 18	Loss: 3.828778	Accuracy: 0.030 	 Current Training Data Per Class: 0
Runner Episode: 19	Loss: 3.800251	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 20	Loss: 3.813241	Accuracy: 0.000 	 Current Training Data Per Class: 0
