Runner Episode: 1	Loss: 3.911759	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 2	Loss: 3.815785	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 3	Loss: 3.879478	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 4	Loss: 3.893785	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 5	Loss: 3.775262	Accuracy: 0.110 	 Current Training Data Per Class: 0
Runner Episode: 6	Loss: 3.833225	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 7	Loss: 3.847256	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 8	Loss: 3.754836	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 9	Loss: 3.871314	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 10	Loss: 3.803560	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 11	Loss: 3.791563	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 12	Loss: 3.885026	Accuracy: 0.020 	 Current Training Data Per Class: 0
Runner Episode: 13	Loss: 3.860361	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 14	Loss: 3.759938	Accuracy: 0.150 	 Current Training Data Per Class: 0
Runner Episode: 15	Loss: 3.835005	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 16	Loss: 3.865352	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 17	Loss: 3.772656	Accuracy: 0.020 	 Current Training Data Per Class: 0
Runner Episode: 18	Loss: 3.919725	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 19	Loss: 3.839258	Accuracy: 0.010 	 Current Training Data Per Class: 0
Runner Episode: 20	Loss: 3.782886	Accuracy: 0.140 	 Current Training Data Per Class: 0
