Runner Episode: 1	Loss: 3.831293	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 2	Loss: 3.907512	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 3	Loss: 3.798237	Accuracy: 0.200 	 Current Training Data Per Class: 0
Runner Episode: 4	Loss: 3.661652	Accuracy: 0.100 	 Current Training Data Per Class: 0
Runner Episode: 5	Loss: 3.824357	Accuracy: 0.100 	 Current Training Data Per Class: 0
Runner Episode: 6	Loss: 3.799212	Accuracy: 0.200 	 Current Training Data Per Class: 0
Runner Episode: 7	Loss: 3.771391	Accuracy: 0.070 	 Current Training Data Per Class: 0
Runner Episode: 8	Loss: 3.839508	Accuracy: 0.180 	 Current Training Data Per Class: 0
Runner Episode: 9	Loss: 3.687658	Accuracy: 0.110 	 Current Training Data Per Class: 0
Runner Episode: 10	Loss: 3.961553	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 11	Loss: 3.884537	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 12	Loss: 3.838757	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 13	Loss: 3.880786	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 14	Loss: 3.791728	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 15	Loss: 3.939076	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 16	Loss: 3.899614	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 17	Loss: 3.936045	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 18	Loss: 3.773399	Accuracy: 0.160 	 Current Training Data Per Class: 0
Runner Episode: 19	Loss: 3.886899	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 20	Loss: 3.805242	Accuracy: 0.010 	 Current Training Data Per Class: 0
