Runner Episode: 1	Loss: 3.823861	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 2	Loss: 3.901185	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 3	Loss: 3.792869	Accuracy: 0.200 	 Current Training Data Per Class: 0
Runner Episode: 4	Loss: 3.656292	Accuracy: 0.100 	 Current Training Data Per Class: 0
Runner Episode: 5	Loss: 3.827621	Accuracy: 0.100 	 Current Training Data Per Class: 0
Runner Episode: 6	Loss: 3.796793	Accuracy: 0.200 	 Current Training Data Per Class: 0
Runner Episode: 7	Loss: 3.764388	Accuracy: 0.130 	 Current Training Data Per Class: 0
Runner Episode: 8	Loss: 3.840056	Accuracy: 0.170 	 Current Training Data Per Class: 0
Runner Episode: 9	Loss: 3.693058	Accuracy: 0.070 	 Current Training Data Per Class: 0
Runner Episode: 10	Loss: 3.961223	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 11	Loss: 3.887940	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 12	Loss: 3.844618	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 13	Loss: 3.883270	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 14	Loss: 3.793700	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 15	Loss: 3.936355	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 16	Loss: 3.894720	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 17	Loss: 3.940977	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 18	Loss: 3.777406	Accuracy: 0.160 	 Current Training Data Per Class: 0
Runner Episode: 19	Loss: 3.894926	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 20	Loss: 3.802284	Accuracy: 0.000 	 Current Training Data Per Class: 0
