Runner Episode: 1	Loss: 1.692448	Accuracy: 0.400 	 Current Training Data Per Class: 5
Runner Episode: 2	Loss: 2.729079	Accuracy: 0.200 	 Current Training Data Per Class: 5
Runner Episode: 3	Loss: 2.257254	Accuracy: 0.270 	 Current Training Data Per Class: 5
Runner Episode: 4	Loss: 2.700137	Accuracy: 0.200 	 Current Training Data Per Class: 5
Runner Episode: 5	Loss: 1.858456	Accuracy: 0.410 	 Current Training Data Per Class: 5
Runner Episode: 6	Loss: 2.632343	Accuracy: 0.200 	 Current Training Data Per Class: 5
Runner Episode: 7	Loss: 2.597253	Accuracy: 0.200 	 Current Training Data Per Class: 5
Runner Episode: 8	Loss: 2.357102	Accuracy: 0.260 	 Current Training Data Per Class: 5
Runner Episode: 9	Loss: 2.246637	Accuracy: 0.200 	 Current Training Data Per Class: 5
Runner Episode: 10	Loss: 2.731797	Accuracy: 0.200 	 Current Training Data Per Class: 5
Runner Episode: 11	Loss: 2.319213	Accuracy: 0.200 	 Current Training Data Per Class: 5
Runner Episode: 12	Loss: 2.053387	Accuracy: 0.400 	 Current Training Data Per Class: 5
Runner Episode: 13	Loss: 2.138916	Accuracy: 0.210 	 Current Training Data Per Class: 5
Runner Episode: 14	Loss: 2.098395	Accuracy: 0.400 	 Current Training Data Per Class: 5
Runner Episode: 15	Loss: 2.201248	Accuracy: 0.120 	 Current Training Data Per Class: 5
Runner Episode: 16	Loss: 1.992231	Accuracy: 0.220 	 Current Training Data Per Class: 5
Runner Episode: 17	Loss: 2.171908	Accuracy: 0.240 	 Current Training Data Per Class: 5
Runner Episode: 18	Loss: 1.689516	Accuracy: 0.400 	 Current Training Data Per Class: 5
Runner Episode: 19	Loss: 2.300864	Accuracy: 0.200 	 Current Training Data Per Class: 5
Runner Episode: 20	Loss: 2.737773	Accuracy: 0.200 	 Current Training Data Per Class: 5
