Runner Episode: 1	Loss: 3.814322	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 2	Loss: 3.820469	Accuracy: 0.020 	 Current Training Data Per Class: 0
Runner Episode: 3	Loss: 3.886284	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 4	Loss: 3.861712	Accuracy: 0.040 	 Current Training Data Per Class: 0
Runner Episode: 5	Loss: 3.957829	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 6	Loss: 3.915172	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 7	Loss: 3.826375	Accuracy: 0.020 	 Current Training Data Per Class: 0
Runner Episode: 8	Loss: 3.801015	Accuracy: 0.040 	 Current Training Data Per Class: 0
Runner Episode: 9	Loss: 3.933607	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 10	Loss: 3.802677	Accuracy: 0.140 	 Current Training Data Per Class: 0
Runner Episode: 11	Loss: 3.842497	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 12	Loss: 4.075209	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 13	Loss: 3.906631	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 14	Loss: 3.762225	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 15	Loss: 3.843534	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 16	Loss: 3.752956	Accuracy: 0.020 	 Current Training Data Per Class: 0
Runner Episode: 17	Loss: 3.909465	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 18	Loss: 4.124085	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 19	Loss: 3.904584	Accuracy: 0.060 	 Current Training Data Per Class: 0
Runner Episode: 20	Loss: 3.813443	Accuracy: 0.000 	 Current Training Data Per Class: 0
