Runner Episode: 1	Loss: 1.450441	Accuracy: 0.480 	 Current Training Data Per Class: 5
Runner Episode: 2	Loss: 2.342350	Accuracy: 0.190 	 Current Training Data Per Class: 5
Runner Episode: 3	Loss: 2.187507	Accuracy: 0.200 	 Current Training Data Per Class: 5
Runner Episode: 4	Loss: 2.531411	Accuracy: 0.200 	 Current Training Data Per Class: 5
Runner Episode: 5	Loss: 1.953963	Accuracy: 0.400 	 Current Training Data Per Class: 5
Runner Episode: 6	Loss: 2.508043	Accuracy: 0.200 	 Current Training Data Per Class: 5
Runner Episode: 7	Loss: 2.637600	Accuracy: 0.210 	 Current Training Data Per Class: 5
Runner Episode: 8	Loss: 2.079790	Accuracy: 0.350 	 Current Training Data Per Class: 5
Runner Episode: 9	Loss: 2.402200	Accuracy: 0.200 	 Current Training Data Per Class: 5
Runner Episode: 10	Loss: 2.458641	Accuracy: 0.200 	 Current Training Data Per Class: 5
Runner Episode: 11	Loss: 2.068573	Accuracy: 0.180 	 Current Training Data Per Class: 5
Runner Episode: 12	Loss: 1.856279	Accuracy: 0.400 	 Current Training Data Per Class: 5
Runner Episode: 13	Loss: 2.176518	Accuracy: 0.210 	 Current Training Data Per Class: 5
Runner Episode: 14	Loss: 2.506775	Accuracy: 0.400 	 Current Training Data Per Class: 5
Runner Episode: 15	Loss: 2.422113	Accuracy: 0.200 	 Current Training Data Per Class: 5
Runner Episode: 16	Loss: 2.046490	Accuracy: 0.210 	 Current Training Data Per Class: 5
Runner Episode: 17	Loss: 2.411445	Accuracy: 0.210 	 Current Training Data Per Class: 5
Runner Episode: 18	Loss: 1.506245	Accuracy: 0.400 	 Current Training Data Per Class: 5
Runner Episode: 19	Loss: 1.839224	Accuracy: 0.260 	 Current Training Data Per Class: 5
Runner Episode: 20	Loss: 2.671152	Accuracy: 0.200 	 Current Training Data Per Class: 5
