Runner Episode: 1	Loss: 3.892449	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 2	Loss: 3.855218	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 3	Loss: 3.720550	Accuracy: 0.100 	 Current Training Data Per Class: 0
Runner Episode: 4	Loss: 3.813541	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 5	Loss: 3.784354	Accuracy: 0.020 	 Current Training Data Per Class: 0
Runner Episode: 6	Loss: 3.806770	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 7	Loss: 3.887446	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 8	Loss: 3.759167	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 9	Loss: 3.815444	Accuracy: 0.010 	 Current Training Data Per Class: 0
Runner Episode: 10	Loss: 3.760457	Accuracy: 0.170 	 Current Training Data Per Class: 0
Runner Episode: 11	Loss: 3.833754	Accuracy: 0.100 	 Current Training Data Per Class: 0
Runner Episode: 12	Loss: 3.833354	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 13	Loss: 3.864060	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 14	Loss: 3.905226	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 15	Loss: 3.981576	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 16	Loss: 3.881712	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 17	Loss: 3.789288	Accuracy: 0.130 	 Current Training Data Per Class: 0
Runner Episode: 18	Loss: 3.801178	Accuracy: 0.140 	 Current Training Data Per Class: 0
Runner Episode: 19	Loss: 3.858071	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 20	Loss: 3.807290	Accuracy: 0.000 	 Current Training Data Per Class: 0
