Runner Episode: 1	Loss: 1.291454	Accuracy: 0.460 	 Current Training Data Per Class: 5
Runner Episode: 2	Loss: 2.591316	Accuracy: 0.220 	 Current Training Data Per Class: 5
Runner Episode: 3	Loss: 2.282543	Accuracy: 0.200 	 Current Training Data Per Class: 5
Runner Episode: 4	Loss: 2.419191	Accuracy: 0.200 	 Current Training Data Per Class: 5
Runner Episode: 5	Loss: 1.837896	Accuracy: 0.400 	 Current Training Data Per Class: 5
Runner Episode: 6	Loss: 2.500020	Accuracy: 0.200 	 Current Training Data Per Class: 5
Runner Episode: 7	Loss: 2.327368	Accuracy: 0.120 	 Current Training Data Per Class: 5
Runner Episode: 8	Loss: 2.283034	Accuracy: 0.210 	 Current Training Data Per Class: 5
Runner Episode: 9	Loss: 1.995025	Accuracy: 0.200 	 Current Training Data Per Class: 5
Runner Episode: 10	Loss: 2.609780	Accuracy: 0.210 	 Current Training Data Per Class: 5
Runner Episode: 11	Loss: 2.050455	Accuracy: 0.200 	 Current Training Data Per Class: 5
Runner Episode: 12	Loss: 1.905260	Accuracy: 0.400 	 Current Training Data Per Class: 5
Runner Episode: 13	Loss: 2.095055	Accuracy: 0.230 	 Current Training Data Per Class: 5
Runner Episode: 14	Loss: 1.985050	Accuracy: 0.400 	 Current Training Data Per Class: 5
Runner Episode: 15	Loss: 2.204908	Accuracy: 0.120 	 Current Training Data Per Class: 5
Runner Episode: 16	Loss: 2.105590	Accuracy: 0.200 	 Current Training Data Per Class: 5
Runner Episode: 17	Loss: 2.183232	Accuracy: 0.210 	 Current Training Data Per Class: 5
Runner Episode: 18	Loss: 1.624572	Accuracy: 0.400 	 Current Training Data Per Class: 5
Runner Episode: 19	Loss: 2.119546	Accuracy: 0.210 	 Current Training Data Per Class: 5
Runner Episode: 20	Loss: 2.384187	Accuracy: 0.200 	 Current Training Data Per Class: 5
