Runner Episode: 1	Loss: 2.293761	Accuracy: 0.400 	 Current Training Data Per Class: 5
Runner Episode: 2	Loss: 2.968115	Accuracy: 0.200 	 Current Training Data Per Class: 5
Runner Episode: 3	Loss: 3.059001	Accuracy: 0.210 	 Current Training Data Per Class: 5
Runner Episode: 4	Loss: 3.357850	Accuracy: 0.200 	 Current Training Data Per Class: 5
Runner Episode: 5	Loss: 2.361351	Accuracy: 0.400 	 Current Training Data Per Class: 5
Runner Episode: 6	Loss: 3.392347	Accuracy: 0.200 	 Current Training Data Per Class: 5
Runner Episode: 7	Loss: 3.053773	Accuracy: 0.110 	 Current Training Data Per Class: 5
Runner Episode: 8	Loss: 2.945867	Accuracy: 0.200 	 Current Training Data Per Class: 5
Runner Episode: 9	Loss: 2.470969	Accuracy: 0.200 	 Current Training Data Per Class: 5
Runner Episode: 10	Loss: 3.450880	Accuracy: 0.200 	 Current Training Data Per Class: 5
Runner Episode: 11	Loss: 2.825291	Accuracy: 0.230 	 Current Training Data Per Class: 5
Runner Episode: 12	Loss: 2.709423	Accuracy: 0.400 	 Current Training Data Per Class: 5
Runner Episode: 13	Loss: 2.814556	Accuracy: 0.220 	 Current Training Data Per Class: 5
Runner Episode: 14	Loss: 2.885595	Accuracy: 0.400 	 Current Training Data Per Class: 5
Runner Episode: 15	Loss: 2.785447	Accuracy: 0.200 	 Current Training Data Per Class: 5
Runner Episode: 16	Loss: 2.552458	Accuracy: 0.400 	 Current Training Data Per Class: 5
Runner Episode: 17	Loss: 2.657842	Accuracy: 0.200 	 Current Training Data Per Class: 5
Runner Episode: 18	Loss: 2.110808	Accuracy: 0.400 	 Current Training Data Per Class: 5
Runner Episode: 19	Loss: 2.892103	Accuracy: 0.400 	 Current Training Data Per Class: 5
Runner Episode: 20	Loss: 3.155263	Accuracy: 0.150 	 Current Training Data Per Class: 5
