Runner Episode: 1	Loss: 1.657806	Accuracy: 0.400 	 Current Training Data Per Class: 40
Runner Episode: 2	Loss: 2.501057	Accuracy: 0.200 	 Current Training Data Per Class: 40
Runner Episode: 3	Loss: 2.640225	Accuracy: 0.200 	 Current Training Data Per Class: 40
Runner Episode: 4	Loss: 3.551053	Accuracy: 0.210 	 Current Training Data Per Class: 40
Runner Episode: 5	Loss: 3.031324	Accuracy: 0.390 	 Current Training Data Per Class: 40
Runner Episode: 6	Loss: 4.337136	Accuracy: 0.200 	 Current Training Data Per Class: 40
Runner Episode: 7	Loss: 2.472935	Accuracy: 0.240 	 Current Training Data Per Class: 40
Runner Episode: 8	Loss: 3.042953	Accuracy: 0.200 	 Current Training Data Per Class: 40
Runner Episode: 9	Loss: 9.170897	Accuracy: 0.200 	 Current Training Data Per Class: 40
Runner Episode: 10	Loss: 3.132871	Accuracy: 0.210 	 Current Training Data Per Class: 40
Runner Episode: 11	Loss: 2.276466	Accuracy: 0.270 	 Current Training Data Per Class: 40
Runner Episode: 12	Loss: 2.954220	Accuracy: 0.000 	 Current Training Data Per Class: 40
Runner Episode: 13	Loss: 3.246134	Accuracy: 0.000 	 Current Training Data Per Class: 40
Runner Episode: 14	Loss: 3.569183	Accuracy: 0.400 	 Current Training Data Per Class: 40
Runner Episode: 15	Loss: 3.461243	Accuracy: 0.000 	 Current Training Data Per Class: 40
Runner Episode: 16	Loss: 1.931763	Accuracy: 0.400 	 Current Training Data Per Class: 40
Runner Episode: 17	Loss: 2.634472	Accuracy: 0.210 	 Current Training Data Per Class: 40
Runner Episode: 18	Loss: 2.035299	Accuracy: 0.400 	 Current Training Data Per Class: 40
Runner Episode: 19	Loss: 3.767178	Accuracy: 0.320 	 Current Training Data Per Class: 40
Runner Episode: 20	Loss: 3.516598	Accuracy: 0.180 	 Current Training Data Per Class: 40
