Train Episode: 1	Loss: 1.408326	Accuracy: 0.510	 Current training data: 40
Train Episode: 2	Loss: 1.475587	Accuracy: 0.420	 Current training data: 40
Train Episode: 3	Loss: 1.199017	Accuracy: 0.430	 Current training data: 40
Train Episode: 4	Loss: 1.574803	Accuracy: 0.400	 Current training data: 40
Train Episode: 5	Loss: 1.322808	Accuracy: 0.430	 Current training data: 40
Train Episode: 6	Loss: 1.429701	Accuracy: 0.530	 Current training data: 40
Train Episode: 7	Loss: 1.297503	Accuracy: 0.460	 Current training data: 40
Train Episode: 8	Loss: 1.423302	Accuracy: 0.470	 Current training data: 40
Train Episode: 9	Loss: 1.319521	Accuracy: 0.570	 Current training data: 40
Train Episode: 10	Loss: 1.489705	Accuracy: 0.230	 Current training data: 40
Train Episode: 11	Loss: 1.210445	Accuracy: 0.700	 Current training data: 40
Train Episode: 12	Loss: 1.403491	Accuracy: 0.260	 Current training data: 40
Train Episode: 13	Loss: 1.470908	Accuracy: 0.260	 Current training data: 40
Train Episode: 14	Loss: 1.457405	Accuracy: 0.250	 Current training data: 40
Train Episode: 15	Loss: 1.189133	Accuracy: 0.400	 Current training data: 40
Train Episode: 16	Loss: 1.430748	Accuracy: 0.330	 Current training data: 40
Train Episode: 17	Loss: 1.465756	Accuracy: 0.390	 Current training data: 40
Train Episode: 18	Loss: 0.682587	Accuracy: 0.970	 Current training data: 40
Train Episode: 19	Loss: 1.210976	Accuracy: 0.610	 Current training data: 40
Train Episode: 20	Loss: 1.515913	Accuracy: 0.320	 Current training data: 40
