Train Episode: 1	Loss: 3.803882	Accuracy: 0.090	Grad Norm: 8.660295	Training/Class: 56
Train Episode: 2	Loss: 3.842771	Accuracy: 0.000	Grad Norm: 2.174176	Training/Class: 7
Train Episode: 3	Loss: 3.905831	Accuracy: 0.000	Grad Norm: 11.246446	Training/Class: 33
Train Episode: 4	Loss: 3.846402	Accuracy: 0.000	Grad Norm: 11.248376	Training/Class: 37
Train Episode: 5	Loss: 3.785464	Accuracy: 0.200	Grad Norm: 5.406623	Training/Class: 23
Train Episode: 6	Loss: 3.968515	Accuracy: 0.000	Grad Norm: 7.641091	Training/Class: 15
Train Episode: 7	Loss: 3.968852	Accuracy: 0.160	Grad Norm: 7.174458	Training/Class: 24
Train Episode: 8	Loss: 3.756203	Accuracy: 0.160	Grad Norm: 9.849852	Training/Class: 29
Train Episode: 9	Loss: 3.808936	Accuracy: 0.020	Grad Norm: 3.726515	Training/Class: 17
Train Episode: 10	Loss: 3.840022	Accuracy: 0.010	Grad Norm: 3.394162	Training/Class: 13
Train Episode: 11	Loss: 3.821208	Accuracy: 0.200	Grad Norm: 7.059631	Training/Class: 38
Train Episode: 12	Loss: 3.744762	Accuracy: 0.400	Grad Norm: 19.541698	Training/Class: 36
Train Episode: 13	Loss: 3.834479	Accuracy: 0.060	Grad Norm: 28.245996	Training/Class: 52
Train Episode: 14	Loss: 3.680772	Accuracy: 0.160	Grad Norm: 7.631386	Training/Class: 9
Train Episode: 15	Loss: 3.416756	Accuracy: 0.220	Grad Norm: 56.795071	Training/Class: 40
Train Episode: 16	Loss: 3.580996	Accuracy: 0.180	Grad Norm: 25.677094	Training/Class: 30
Train Episode: 17	Loss: 3.360108	Accuracy: 0.220	Grad Norm: 56.101864	Training/Class: 30
Train Episode: 18	Loss: 3.257058	Accuracy: 0.200	Grad Norm: 42.289333	Training/Class: 26
Train Episode: 19	Loss: 3.077804	Accuracy: 0.400	Grad Norm: 40.183262	Training/Class: 28
Train Episode: 20	Loss: 3.222352	Accuracy: 0.190	Grad Norm: 30.893566	Training/Class: 19
Train Episode: 21	Loss: 2.373487	Accuracy: 0.200	Grad Norm: 62.662243	Training/Class: 63
Train Episode: 22	Loss: 3.546973	Accuracy: 0.200	Grad Norm: 15.699039	Training/Class: 5
Train Episode: 23	Loss: 2.178551	Accuracy: 0.400	Grad Norm: 80.531967	Training/Class: 67
Train Episode: 24	Loss: 2.579112	Accuracy: 0.200	Grad Norm: 79.920761	Training/Class: 51
Train Episode: 25	Loss: 2.842501	Accuracy: 0.200	Grad Norm: 36.471794	Training/Class: 21
Train Episode: 26	Loss: 2.375830	Accuracy: 0.200	Grad Norm: 418.546021	Training/Class: 50
Train Episode: 27	Loss: 2.707084	Accuracy: 0.400	Grad Norm: 25.417271	Training/Class: 8
Train Episode: 28	Loss: 2.940164	Accuracy: 0.200	Grad Norm: 28.299646	Training/Class: 13
Train Episode: 29	Loss: 2.954784	Accuracy: 0.200	Grad Norm: 16.394802	Training/Class: 5
Train Episode: 30	Loss: 2.704026	Accuracy: 0.200	Grad Norm: 34.199810	Training/Class: 18
Train Episode: 31	Loss: 2.489728	Accuracy: 0.200	Grad Norm: 84.474678	Training/Class: 39
Train Episode: 32	Loss: 2.337721	Accuracy: 0.200	Grad Norm: 117.904388	Training/Class: 50
Train Episode: 33	Loss: 2.653886	Accuracy: 0.200	Grad Norm: 44.839260	Training/Class: 20
Train Episode: 34	Loss: 2.723963	Accuracy: 0.200	Grad Norm: 15.031086	Training/Class: 6
Train Episode: 35	Loss: 2.782340	Accuracy: 0.200	Grad Norm: 38.331741	Training/Class: 14
Train Episode: 36	Loss: 1.950493	Accuracy: 0.200	Grad Norm: 118.066505	Training/Class: 34
Train Episode: 37	Loss: 1.808793	Accuracy: 0.400	Grad Norm: 40.900761	Training/Class: 38
Train Episode: 38	Loss: 2.367209	Accuracy: 0.200	Grad Norm: 733.805542	Training/Class: 41
Train Episode: 39	Loss: 2.229924	Accuracy: 0.200	Grad Norm: 105.355972	Training/Class: 30
Train Episode: 40	Loss: 2.415773	Accuracy: 0.200	Grad Norm: 143.957199	Training/Class: 31
Train Episode: 41	Loss: 2.696056	Accuracy: 0.200	Grad Norm: 22.853825	Training/Class: 9
Train Episode: 42	Loss: 2.451702	Accuracy: 0.200	Grad Norm: 66.122711	Training/Class: 19
Train Episode: 43	Loss: 2.240858	Accuracy: 0.200	Grad Norm: 100.162651	Training/Class: 34
Train Episode: 44	Loss: 2.546125	Accuracy: 0.200	Grad Norm: 20.216850	Training/Class: 9
Train Episode: 45	Loss: 2.560835	Accuracy: 0.200	Grad Norm: 22.582396	Training/Class: 9
Train Episode: 46	Loss: 1.981018	Accuracy: 0.200	Grad Norm: 125.005119	Training/Class: 62
Train Episode: 47	Loss: 2.184394	Accuracy: 0.200	Grad Norm: 155.340378	Training/Class: 40
Train Episode: 48	Loss: 2.277356	Accuracy: 0.200	Grad Norm: 88.718781	Training/Class: 24
Train Episode: 49	Loss: 2.287993	Accuracy: 0.200	Grad Norm: 88.956436	Training/Class: 19
Train Episode: 50	Loss: 2.265176	Accuracy: 0.200	Grad Norm: 64.162140	Training/Class: 17
Train Episode: 51	Loss: nan	Accuracy: 0.000	Grad Norm: nan	Training/Class: 49
