Episode: 1: [ 0.27053535  0.03697454 -0.01454803 -0.45932928 -0.92235583 -0.9747702
 -0.55486745 -0.24295755  0.4271715 ] 
Episode: 11: [ 0.2712642   0.03659379 -0.01507893 -0.45857844 -0.9215704  -0.97367483
 -0.5527947  -0.24052699  0.42495754] 
Episode: 21: [ 0.26954955  0.0383082  -0.01336542 -0.46028945 -0.919564   -0.97167075
 -0.55078894 -0.24224192  0.42667457] 
Episode: 31: [ 0.2687794   0.03907824 -0.01259579 -0.46105966 -0.91879356 -0.9709005
 -0.5500186  -0.24301212  0.42744482] 
Episode: 41: [ 0.26850942  0.03934819 -0.01232598 -0.46132967 -0.91852355 -0.9706305
 -0.5497486  -0.24328211  0.42771485] 
Episode: 51: [ 0.2684148   0.03944284 -0.01223138 -0.46142432 -0.9184289  -0.9705359
 -0.54965395 -0.24337676  0.4278095 ] 
Episode: 61: [ 0.2683816   0.03947602 -0.01219822 -0.46145752 -0.9183957  -0.97050273
 -0.5496208  -0.24340995  0.4278427 ] 
Episode: 71: [ 0.26836997  0.03948765 -0.0121866  -0.46146917 -0.918384   -0.97049105
 -0.5496091  -0.2434216   0.42785436] 
Episode: 81: [ 0.26836592  0.03949172 -0.01218252 -0.46147323 -0.9183799  -0.97048694
 -0.549605   -0.24342568  0.4278584 ] 
Episode: 91: [ 0.2683645   0.03949315 -0.01218109 -0.46147466 -0.9183785  -0.9704855
 -0.5496036  -0.24342713  0.42785984] 
Episode: 101: [ 0.26836398  0.03949366 -0.01218059 -0.46147516 -0.9183779  -0.9704849
 -0.549603   -0.24342762  0.42786035] 
Episode: 111: [ 0.2683638   0.03949384 -0.01218041 -0.46147534 -0.9183779  -0.9704849
 -0.549603   -0.2434278   0.42786053] 
Episode: 121: [ 0.2683638   0.0394939  -0.01218035 -0.46147534 -0.9183779  -0.9704849
 -0.549603   -0.24342784  0.42786053] 
Episode: 131: [ 0.2683638   0.03949392 -0.01218033 -0.46147534 -0.9183779  -0.9704849
 -0.549603   -0.24342784  0.42786053] 
Episode: 141: [ 0.2683638   0.03949392 -0.01218032 -0.46147534 -0.9183779  -0.9704849
 -0.549603   -0.24342784  0.42786053] 
Episode: 151: [ 0.2683638   0.03949392 -0.01218032 -0.46147534 -0.9183779  -0.9704849
 -0.549603   -0.24342784  0.42786053] 
Episode: 161: [ 0.2683638   0.03949392 -0.01218032 -0.46147534 -0.9183779  -0.9704849
 -0.549603   -0.24342784  0.42786053] 
Episode: 171: [ 0.2683638   0.03949392 -0.01218032 -0.46147534 -0.9183779  -0.9704849
 -0.549603   -0.24342784  0.42786053] 
Episode: 181: [ 0.2683638   0.03949392 -0.01218032 -0.46147534 -0.9183779  -0.9704849
 -0.549603   -0.24342784  0.42786053] 
Episode: 191: [ 0.2683638   0.03949392 -0.01218032 -0.46147534 -0.9183779  -0.9704849
 -0.549603   -0.24342784  0.42786053] 
Episode: 201: [ 0.2683638   0.03949392 -0.01218032 -0.46147534 -0.9183779  -0.9704849
 -0.549603   -0.24342784  0.42786053] 
Episode: 211: [ 0.2683638   0.03949392 -0.01218032 -0.46147534 -0.9183779  -0.9704849
 -0.549603   -0.24342784  0.42786053] 
Episode: 221: [ 0.2683638   0.03949392 -0.01218032 -0.46147534 -0.9183779  -0.9704849
 -0.549603   -0.24342784  0.42786053] 
Episode: 231: [ 0.2683638   0.03949392 -0.01218032 -0.46147534 -0.9183779  -0.9704849
 -0.549603   -0.24342784  0.42786053] 
Episode: 241: [ 0.2683638   0.03949392 -0.01218032 -0.46147534 -0.9183779  -0.9704849
 -0.549603   -0.24342784  0.42786053] 
Episode: 251: [ 0.2683638   0.03949392 -0.01218032 -0.46147534 -0.9183779  -0.9704849
 -0.549603   -0.24342784  0.42786053] 
Episode: 261: [ 0.2683638   0.03949392 -0.01218032 -0.46147534 -0.9183779  -0.9704849
 -0.549603   -0.24342784  0.42786053] 
Episode: 271: [ 0.2683638   0.03949392 -0.01218032 -0.46147534 -0.9183779  -0.9704849
 -0.549603   -0.24342784  0.42786053] 
Episode: 281: [ 0.2683638   0.03949392 -0.01218032 -0.46147534 -0.9183779  -0.9704849
 -0.549603   -0.24342784  0.42786053] 
Episode: 291: [ 0.2683638   0.03949392 -0.01218032 -0.46147534 -0.9183779  -0.9704849
 -0.549603   -0.24342784  0.42786053] 
Episode: 301: [ 0.2683638   0.03949392 -0.01218032 -0.46147534 -0.9183779  -0.9704849
 -0.549603   -0.24342784  0.42786053] 
Episode: 311: [ 0.2683638   0.03949392 -0.01218032 -0.46147534 -0.9183779  -0.9704849
 -0.549603   -0.24342784  0.42786053] 
Episode: 321: [ 0.2683638   0.03949392 -0.01218032 -0.46147534 -0.9183779  -0.9704849
 -0.549603   -0.24342784  0.42786053] 
Episode: 331: [ 0.2683638   0.03949392 -0.01218032 -0.46147534 -0.9183779  -0.9704849
 -0.549603   -0.24342784  0.42786053] 
Episode: 341: [ 0.2683638   0.03949392 -0.01218032 -0.46147534 -0.9183779  -0.9704849
 -0.549603   -0.24342784  0.42786053] 
Episode: 351: [ 0.2683638   0.03949392 -0.01218032 -0.46147534 -0.9183779  -0.9704849
 -0.549603   -0.24342784  0.42786053] 
Episode: 361: [ 0.2683638   0.03949392 -0.01218032 -0.46147534 -0.9183779  -0.9704849
 -0.549603   -0.24342784  0.42786053] 
Episode: 371: [ 0.2683638   0.03949392 -0.01218032 -0.46147534 -0.9183779  -0.9704849
 -0.549603   -0.24342784  0.42786053] 
Episode: 381: [ 0.2683638   0.03949392 -0.01218032 -0.46147534 -0.9183779  -0.9704849
 -0.549603   -0.24342784  0.42786053] 
Episode: 391: [ 0.2683638   0.03949392 -0.01218032 -0.46147534 -0.9183779  -0.9704849
 -0.549603   -0.24342784  0.42786053] 
Episode: 401: [ 0.2683638   0.03949392 -0.01218032 -0.46147534 -0.9183779  -0.9704849
 -0.549603   -0.24342784  0.42786053] 
Episode: 411: [ 0.2683638   0.03949392 -0.01218032 -0.46147534 -0.9183779  -0.9704849
 -0.549603   -0.24342784  0.42786053] 
Episode: 421: [ 0.2683638   0.03949392 -0.01218032 -0.46147534 -0.9183779  -0.9704849
 -0.549603   -0.24342784  0.42786053] 
Episode: 431: [ 0.2683638   0.03949392 -0.01218032 -0.46147534 -0.9183779  -0.9704849
 -0.549603   -0.24342784  0.42786053] 
Episode: 441: [ 0.2683638   0.03949392 -0.01218032 -0.46147534 -0.9183779  -0.9704849
 -0.549603   -0.24342784  0.42786053] 
