Train Episode: 1	Loss: 3.795261	Accuracy: 0.060	Grad Norm: 3579.634766	Training/Class: 61
Train Episode: 2	Loss: 4.040854	Accuracy: 0.000	Grad Norm: 2786.067383	Training/Class: 75
Train Episode: 3	Loss: 3.708425	Accuracy: 0.090	Grad Norm: 3999.052734	Training/Class: 70
Train Episode: 4	Loss: 3.891511	Accuracy: 0.010	Grad Norm: 1555.488770	Training/Class: 26
Train Episode: 5	Loss: 3.789726	Accuracy: 0.020	Grad Norm: 3773.229248	Training/Class: 75
Train Episode: 6	Loss: 3.834202	Accuracy: 0.070	Grad Norm: 3525.814453	Training/Class: 77
Train Episode: 7	Loss: 3.958939	Accuracy: 0.010	Grad Norm: 2173.667236	Training/Class: 22
Train Episode: 8	Loss: 3.698420	Accuracy: 0.020	Grad Norm: 4851.653320	Training/Class: 30
Train Episode: 9	Loss: 4.102081	Accuracy: 0.010	Grad Norm: 5373.756836	Training/Class: 56
Train Episode: 10	Loss: 3.800539	Accuracy: 0.000	Grad Norm: 1610.938721	Training/Class: 29
Train Episode: 11	Loss: 3.817986	Accuracy: 0.080	Grad Norm: 1157.045044	Training/Class: 65
Train Episode: 12	Loss: 4.376105	Accuracy: 0.010	Grad Norm: 11014.242188	Training/Class: 15
Train Episode: 13	Loss: 3.920773	Accuracy: 0.000	Grad Norm: 415.949005	Training/Class: 78
Train Episode: 14	Loss: 3.738868	Accuracy: 0.010	Grad Norm: 5307.479492	Training/Class: 19
Train Episode: 15	Loss: 3.689899	Accuracy: 0.180	Grad Norm: 2731.709961	Training/Class: 42
Train Episode: 16	Loss: 3.804053	Accuracy: 0.010	Grad Norm: 3838.808838	Training/Class: 37
Train Episode: 17	Loss: 3.755689	Accuracy: 0.020	Grad Norm: 2623.613525	Training/Class: 52
Train Episode: 18	Loss: 3.800597	Accuracy: 0.200	Grad Norm: 14432.303711	Training/Class: 38
Train Episode: 19	Loss: 3.802615	Accuracy: 0.200	Grad Norm: 9581.290039	Training/Class: 51
Train Episode: 20	Loss: 6.195684	Accuracy: 0.200	Grad Norm: 4051211.750000	Training/Class: 18
Train Episode: 21	Loss: 3.725544	Accuracy: 0.400	Grad Norm: 232709392.000000	Training/Class: 62
Train Episode: 22	Loss: 3.850442	Accuracy: 0.020	Grad Norm: 388.069458	Training/Class: 34
Train Episode: 23	Loss: 3.848054	Accuracy: 0.000	Grad Norm: 209222000.000000	Training/Class: 32
Train Episode: 24	Loss: 3.784163	Accuracy: 0.400	Grad Norm: 824198.250000	Training/Class: 38
Train Episode: 25	Loss: 3.735658	Accuracy: 0.200	Grad Norm: 34339.394531	Training/Class: 37
Train Episode: 26	Loss: 3.712047	Accuracy: 0.200	Grad Norm: 145726.000000	Training/Class: 75
Train Episode: 27	Loss: 9.609437	Accuracy: 0.000	Grad Norm: 1485033177088.000000	Training/Class: 18
Train Episode: 28	Loss: 3.685488	Accuracy: 0.400	Grad Norm: 3818.411621	Training/Class: 55
Train Episode: 29	Loss: 5.431574	Accuracy: 0.200	Grad Norm: 103045.750000	Training/Class: 5
Train Episode: 30	Loss: 3.744337	Accuracy: 0.190	Grad Norm: 17430986752.000000	Training/Class: 77
Train Episode: 31	Loss: 3.754528	Accuracy: 0.120	Grad Norm: 1995445.375000	Training/Class: 78
Train Episode: 32	Loss: 3.753420	Accuracy: 0.200	Grad Norm: 3476277.000000	Training/Class: 54
Train Episode: 33	Loss: 3.428569	Accuracy: 0.200	Grad Norm: 210512838656.000000	Training/Class: 46
Train Episode: 34	Loss: 3.574614	Accuracy: 0.210	Grad Norm: 192148752.000000	Training/Class: 72
Train Episode: 35	Loss: 10.060355	Accuracy: 0.600	Grad Norm: 12474043596800.000000	Training/Class: 45
Train Episode: 36	Loss: 3.718826	Accuracy: 0.160	Grad Norm: 2197918208.000000	Training/Class: 76
Train Episode: 37	Loss: 3.424554	Accuracy: 0.210	Grad Norm: 36116.328125	Training/Class: 75
Train Episode: 38	Loss: 2.042944	Accuracy: 0.180	Grad Norm: 933246926848.000000	Training/Class: 79
Train Episode: 39	Loss: 48.721981	Accuracy: 0.200	Grad Norm: 488532224.000000	Training/Class: 46
Train Episode: 40	Loss: 3.857712	Accuracy: 0.000	Grad Norm: 1823344.250000	Training/Class: 5
Train Episode: 41	Loss: 8.671303	Accuracy: 0.000	Grad Norm: nan	Training/Class: 54
Train Episode: 42	Loss: nan	Accuracy: 0.000	Grad Norm: nan	Training/Class: 54
