Train Episode: 1	Loss: 4.192972	Accuracy: 0.000	Current Training Data: 5	Number of Tasks: 1	Loss 2: 3.360742	Acc 2: 0.040	CTD \ Class 2: 10 	Number of Tasks 2: 1	Loss 3: 3.675031	Acc 3: 0.020	CTD \ Class 3: 17 	Number of Tasks 3: 1	 Total loss: 3.742915	 Total Acc: 0.020
Train Episode: 2	Loss: 4.248886	Accuracy: 0.000	Current Training Data: 27	Number of Tasks: 1	Loss 2: 2.120247	Acc 2: 0.200	CTD \ Class 2: 32 	Number of Tasks 2: 1	Loss 3: 3.910922	Acc 3: 0.000	CTD \ Class 3: 38 	Number of Tasks 3: 1	 Total loss: 3.426685	 Total Acc: 0.067
Train Episode: 3	Loss: 4.582391	Accuracy: 0.000	Current Training Data: 5	Number of Tasks: 1	Loss 2: 4.885252	Acc 2: 0.000	CTD \ Class 2: 6 	Number of Tasks 2: 1	Loss 3: 2.760629	Acc 3: 0.200	CTD \ Class 3: 30 	Number of Tasks 3: 1	 Total loss: 4.076091	 Total Acc: 0.067
Train Episode: 4	Loss: 3.060929	Accuracy: 0.200	Current Training Data: 21	Number of Tasks: 1	Loss 2: 3.372377	Acc 2: 0.000	CTD \ Class 2: 21 	Number of Tasks 2: 1	Loss 3: 3.865678	Acc 3: 0.000	CTD \ Class 3: 27 	Number of Tasks 3: 1	 Total loss: 3.432995	 Total Acc: 0.067
Train Episode: 5	Loss: 3.531080	Accuracy: 0.000	Current Training Data: 35	Number of Tasks: 1	Loss 2: 5.132971	Acc 2: 0.000	CTD \ Class 2: 12 	Number of Tasks 2: 1	Loss 3: 2.817455	Acc 3: 0.200	CTD \ Class 3: 27 	Number of Tasks 3: 1	 Total loss: 3.827168	 Total Acc: 0.067
Train Episode: 6	Loss: 4.526245	Accuracy: 0.000	Current Training Data: 25	Number of Tasks: 1	Loss 2: 4.689110	Acc 2: 0.000	CTD \ Class 2: 17 	Number of Tasks 2: 1	Loss 3: 2.575700	Acc 3: 0.200	CTD \ Class 3: 36 	Number of Tasks 3: 1	 Total loss: 3.930352	 Total Acc: 0.067
Train Episode: 7	Loss: 2.963800	Accuracy: 0.000	Current Training Data: 24	Number of Tasks: 1	Loss 2: 4.213620	Acc 2: 0.000	CTD \ Class 2: 20 	Number of Tasks 2: 1	Loss 3: 3.878670	Acc 3: 0.200	CTD \ Class 3: 25 	Number of Tasks 3: 1	 Total loss: 3.685364	 Total Acc: 0.067
Train Episode: 8	Loss: 4.562931	Accuracy: 0.000	Current Training Data: 18	Number of Tasks: 1	Loss 2: 3.888573	Acc 2: 0.000	CTD \ Class 2: 38 	Number of Tasks 2: 1	Loss 3: 2.803785	Acc 3: 0.200	CTD \ Class 3: 39 	Number of Tasks 3: 1	 Total loss: 3.751763	 Total Acc: 0.067
Train Episode: 9	Loss: 2.567406	Accuracy: 0.200	Current Training Data: 24	Number of Tasks: 1	Loss 2: 5.207296	Acc 2: 0.000	CTD \ Class 2: 9 	Number of Tasks 2: 1	Loss 3: 4.869866	Acc 3: 0.000	CTD \ Class 3: 8 	Number of Tasks 3: 1	 Total loss: 4.214856	 Total Acc: 0.067
Train Episode: 10	Loss: 4.577486	Accuracy: 0.000	Current Training Data: 5	Number of Tasks: 1	Loss 2: 4.384807	Acc 2: 0.000	CTD \ Class 2: 5 	Number of Tasks 2: 1	Loss 3: 4.115411	Acc 3: 0.160	CTD \ Class 3: 12 	Number of Tasks 3: 1	 Total loss: 4.359235	 Total Acc: 0.053
Train Episode: 11	Loss: 5.792107	Accuracy: 0.000	Current Training Data: 6	Number of Tasks: 1	Loss 2: 1.891647	Acc 2: 0.200	CTD \ Class 2: 38 	Number of Tasks 2: 1	Loss 3: 5.100300	Acc 3: 0.000	CTD \ Class 3: 14 	Number of Tasks 3: 1	 Total loss: 4.261352	 Total Acc: 0.067
Train Episode: 12	Loss: 4.194406	Accuracy: 0.000	Current Training Data: 10	Number of Tasks: 1	Loss 2: 4.185222	Acc 2: 0.000	CTD \ Class 2: 30 	Number of Tasks 2: 1	Loss 3: 4.215666	Acc 3: 0.000	CTD \ Class 3: 35 	Number of Tasks 3: 1	 Total loss: 4.198431	 Total Acc: 0.000
Train Episode: 13	Loss: 4.195757	Accuracy: 0.000	Current Training Data: 26	Number of Tasks: 1	Loss 2: 4.159057	Acc 2: 0.000	CTD \ Class 2: 10 	Number of Tasks 2: 1	Loss 3: 4.157565	Acc 3: 0.000	CTD \ Class 3: 6 	Number of Tasks 3: 1	 Total loss: 4.170794	 Total Acc: 0.000
Train Episode: 14	Loss: 4.224100	Accuracy: 0.000	Current Training Data: 9	Number of Tasks: 1	Loss 2: 4.067773	Acc 2: 0.200	CTD \ Class 2: 23 	Number of Tasks 2: 1	Loss 3: 4.290514	Acc 3: 0.000	CTD \ Class 3: 5 	Number of Tasks 3: 1	 Total loss: 4.194129	 Total Acc: 0.067
Train Episode: 15	Loss: 9.356891	Accuracy: 0.000	Current Training Data: 36	Number of Tasks: 1	Loss 2: 7.409756	Acc 2: 0.000	CTD \ Class 2: 38 	Number of Tasks 2: 1	Loss 3: 4.825480	Acc 3: 0.200	CTD \ Class 3: 6 	Number of Tasks 3: 1	 Total loss: 7.197376	 Total Acc: 0.067
Train Episode: 16	Loss: 7.647490	Accuracy: 0.000	Current Training Data: 13	Number of Tasks: 1	Loss 2: 11.582524	Acc 2: 0.000	CTD \ Class 2: 23 	Number of Tasks 2: 1	Loss 3: 4.989016	Acc 3: 0.200	CTD \ Class 3: 24 	Number of Tasks 3: 1	 Total loss: 8.073010	 Total Acc: 0.067
Train Episode: 17	Loss: 3.251674	Accuracy: 0.400	Current Training Data: 31	Number of Tasks: 1	Loss 2: 15.295449	Acc 2: 0.000	CTD \ Class 2: 14 	Number of Tasks 2: 1	Loss 3: 11.421416	Acc 3: 0.000	CTD \ Class 3: 35 	Number of Tasks 3: 1	 Total loss: 9.989513	 Total Acc: 0.133
Train Episode: 18	Loss: 4.069661	Accuracy: 0.000	Current Training Data: 17	Number of Tasks: 1	Loss 2: 4.146496	Acc 2: 0.170	CTD \ Class 2: 36 	Number of Tasks 2: 1	Loss 3: 4.174922	Acc 3: 0.000	CTD \ Class 3: 12 	Number of Tasks 3: 1	 Total loss: 4.130360	 Total Acc: 0.057
Train Episode: 19	Loss: 4.204569	Accuracy: 0.010	Current Training Data: 24	Number of Tasks: 1	Loss 2: 4.158476	Acc 2: 0.190	CTD \ Class 2: 30 	Number of Tasks 2: 1	Loss 3: 4.168740	Acc 3: 0.010	CTD \ Class 3: 8 	Number of Tasks 3: 1	 Total loss: 4.177262	 Total Acc: 0.070
Train Episode: 20	Loss: 4.095308	Accuracy: 0.060	Current Training Data: 26	Number of Tasks: 1	Loss 2: 4.266929	Acc 2: 0.000	CTD \ Class 2: 6 	Number of Tasks 2: 1	Loss 3: 4.162770	Acc 3: 0.090	CTD \ Class 3: 23 	Number of Tasks 3: 1	 Total loss: 4.175003	 Total Acc: 0.050
