Runner Episode: 1	Loss: 1.644018	Accuracy: 0.400 	 Current Training Data Per Class: 40
Runner Episode: 2	Loss: 1.656322	Accuracy: 0.240 	 Current Training Data Per Class: 40
Runner Episode: 3	Loss: 1.730951	Accuracy: 0.200 	 Current Training Data Per Class: 40
Runner Episode: 4	Loss: 1.945723	Accuracy: 0.200 	 Current Training Data Per Class: 40
Runner Episode: 5	Loss: 2.036437	Accuracy: 0.200 	 Current Training Data Per Class: 40
Runner Episode: 6	Loss: 1.594156	Accuracy: 0.320 	 Current Training Data Per Class: 40
Runner Episode: 7	Loss: 1.937893	Accuracy: 0.200 	 Current Training Data Per Class: 40
Runner Episode: 8	Loss: 1.606109	Accuracy: 0.220 	 Current Training Data Per Class: 40
Runner Episode: 9	Loss: 2.001630	Accuracy: 0.200 	 Current Training Data Per Class: 40
Runner Episode: 10	Loss: 1.870409	Accuracy: 0.180 	 Current Training Data Per Class: 40
Runner Episode: 11	Loss: 1.951410	Accuracy: 0.200 	 Current Training Data Per Class: 40
Runner Episode: 12	Loss: 1.528044	Accuracy: 0.180 	 Current Training Data Per Class: 40
Runner Episode: 13	Loss: 1.741967	Accuracy: 0.250 	 Current Training Data Per Class: 40
Runner Episode: 14	Loss: 1.841691	Accuracy: 0.400 	 Current Training Data Per Class: 40
Runner Episode: 15	Loss: 1.679765	Accuracy: 0.230 	 Current Training Data Per Class: 40
Runner Episode: 16	Loss: 1.410812	Accuracy: 0.400 	 Current Training Data Per Class: 40
Runner Episode: 17	Loss: 1.689098	Accuracy: 0.210 	 Current Training Data Per Class: 40
Runner Episode: 18	Loss: 1.479918	Accuracy: 0.400 	 Current Training Data Per Class: 40
Runner Episode: 19	Loss: 1.373994	Accuracy: 0.400 	 Current Training Data Per Class: 40
Runner Episode: 20	Loss: 1.981532	Accuracy: 0.200 	 Current Training Data Per Class: 40
