Runner Episode: 1	Loss: 1.313202	Accuracy: 0.400 	 Current Training Data Per Class: 375
Runner Episode: 2	Loss: 1.510967	Accuracy: 0.200 	 Current Training Data Per Class: 375
Runner Episode: 3	Loss: 2.032595	Accuracy: 0.200 	 Current Training Data Per Class: 375
Runner Episode: 4	Loss: 1.653197	Accuracy: 0.200 	 Current Training Data Per Class: 375
Runner Episode: 5	Loss: 1.659544	Accuracy: 0.400 	 Current Training Data Per Class: 375
Runner Episode: 6	Loss: 1.682406	Accuracy: 0.200 	 Current Training Data Per Class: 375
Runner Episode: 7	Loss: 2.008555	Accuracy: 0.200 	 Current Training Data Per Class: 375
Runner Episode: 8	Loss: 1.568253	Accuracy: 0.320 	 Current Training Data Per Class: 375
Runner Episode: 9	Loss: 1.675216	Accuracy: 0.200 	 Current Training Data Per Class: 375
Runner Episode: 10	Loss: 1.456642	Accuracy: 0.320 	 Current Training Data Per Class: 375
Runner Episode: 11	Loss: 1.593126	Accuracy: 0.270 	 Current Training Data Per Class: 375
Runner Episode: 12	Loss: 1.892849	Accuracy: 0.400 	 Current Training Data Per Class: 375
Runner Episode: 13	Loss: 1.842241	Accuracy: 0.200 	 Current Training Data Per Class: 375
Runner Episode: 14	Loss: 1.873785	Accuracy: 0.400 	 Current Training Data Per Class: 375
Runner Episode: 15	Loss: 2.181358	Accuracy: 0.200 	 Current Training Data Per Class: 375
Runner Episode: 16	Loss: 1.607231	Accuracy: 0.400 	 Current Training Data Per Class: 375
Runner Episode: 17	Loss: 1.866293	Accuracy: 0.200 	 Current Training Data Per Class: 375
Runner Episode: 18	Loss: 1.290334	Accuracy: 0.400 	 Current Training Data Per Class: 375
Runner Episode: 19	Loss: 1.747801	Accuracy: 0.400 	 Current Training Data Per Class: 375
Runner Episode: 20	Loss: 1.518859	Accuracy: 0.230 	 Current Training Data Per Class: 375
