Runner Episode: 1	Loss: 1.786577	Accuracy: 0.400 	 Current Training Data Per Class: 5
Runner Episode: 2	Loss: 2.665917	Accuracy: 0.200 	 Current Training Data Per Class: 5
Runner Episode: 3	Loss: 1.993670	Accuracy: 0.200 	 Current Training Data Per Class: 5
Runner Episode: 4	Loss: 2.500342	Accuracy: 0.200 	 Current Training Data Per Class: 5
Runner Episode: 5	Loss: 1.653363	Accuracy: 0.430 	 Current Training Data Per Class: 5
Runner Episode: 6	Loss: 3.008003	Accuracy: 0.200 	 Current Training Data Per Class: 5
Runner Episode: 7	Loss: 2.125619	Accuracy: 0.200 	 Current Training Data Per Class: 5
Runner Episode: 8	Loss: 2.741177	Accuracy: 0.290 	 Current Training Data Per Class: 5
Runner Episode: 9	Loss: 2.055022	Accuracy: 0.200 	 Current Training Data Per Class: 5
Runner Episode: 10	Loss: 2.289349	Accuracy: 0.200 	 Current Training Data Per Class: 5
Runner Episode: 11	Loss: 2.450404	Accuracy: 0.200 	 Current Training Data Per Class: 5
Runner Episode: 12	Loss: 1.608660	Accuracy: 0.400 	 Current Training Data Per Class: 5
Runner Episode: 13	Loss: 1.992625	Accuracy: 0.320 	 Current Training Data Per Class: 5
Runner Episode: 14	Loss: 1.516276	Accuracy: 0.400 	 Current Training Data Per Class: 5
Runner Episode: 15	Loss: 1.883596	Accuracy: 0.210 	 Current Training Data Per Class: 5
Runner Episode: 16	Loss: 1.756861	Accuracy: 0.220 	 Current Training Data Per Class: 5
Runner Episode: 17	Loss: 2.154150	Accuracy: 0.200 	 Current Training Data Per Class: 5
Runner Episode: 18	Loss: 1.688733	Accuracy: 0.400 	 Current Training Data Per Class: 5
Runner Episode: 19	Loss: 2.372200	Accuracy: 0.200 	 Current Training Data Per Class: 5
Runner Episode: 20	Loss: 3.000877	Accuracy: 0.200 	 Current Training Data Per Class: 5
