Runner Episode: 1	Loss: 1.868321	Accuracy: 0.460 	 Current Training Data Per Class: 5
Runner Episode: 2	Loss: 2.905910	Accuracy: 0.200 	 Current Training Data Per Class: 5
Runner Episode: 3	Loss: 2.023725	Accuracy: 0.300 	 Current Training Data Per Class: 5
Runner Episode: 4	Loss: 2.215782	Accuracy: 0.200 	 Current Training Data Per Class: 5
Runner Episode: 5	Loss: 1.746402	Accuracy: 0.470 	 Current Training Data Per Class: 5
Runner Episode: 6	Loss: 3.108184	Accuracy: 0.200 	 Current Training Data Per Class: 5
Runner Episode: 7	Loss: 2.257732	Accuracy: 0.200 	 Current Training Data Per Class: 5
Runner Episode: 8	Loss: 2.528422	Accuracy: 0.200 	 Current Training Data Per Class: 5
Runner Episode: 9	Loss: 2.320052	Accuracy: 0.200 	 Current Training Data Per Class: 5
Runner Episode: 10	Loss: 2.485220	Accuracy: 0.210 	 Current Training Data Per Class: 5
Runner Episode: 11	Loss: 2.992929	Accuracy: 0.200 	 Current Training Data Per Class: 5
Runner Episode: 12	Loss: 1.660020	Accuracy: 0.400 	 Current Training Data Per Class: 5
Runner Episode: 13	Loss: 2.063251	Accuracy: 0.210 	 Current Training Data Per Class: 5
Runner Episode: 14	Loss: 1.429196	Accuracy: 0.400 	 Current Training Data Per Class: 5
Runner Episode: 15	Loss: 2.370661	Accuracy: 0.220 	 Current Training Data Per Class: 5
Runner Episode: 16	Loss: 2.016833	Accuracy: 0.350 	 Current Training Data Per Class: 5
Runner Episode: 17	Loss: 2.337598	Accuracy: 0.200 	 Current Training Data Per Class: 5
Runner Episode: 18	Loss: 2.424180	Accuracy: 0.420 	 Current Training Data Per Class: 5
Runner Episode: 19	Loss: 2.521600	Accuracy: 0.200 	 Current Training Data Per Class: 5
Runner Episode: 20	Loss: 2.837442	Accuracy: 0.200 	 Current Training Data Per Class: 5
