Runner Episode: 1	Loss: 3.831614	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 2	Loss: 3.776439	Accuracy: 0.010 	 Current Training Data Per Class: 0
Runner Episode: 3	Loss: 3.875664	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 4	Loss: 3.803176	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 5	Loss: 3.943092	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 6	Loss: 3.843265	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 7	Loss: 3.868951	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 8	Loss: 3.950092	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 9	Loss: 3.755118	Accuracy: 0.200 	 Current Training Data Per Class: 0
Runner Episode: 10	Loss: 3.900581	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 11	Loss: 3.856820	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 12	Loss: 3.859977	Accuracy: 0.060 	 Current Training Data Per Class: 0
Runner Episode: 13	Loss: 3.812210	Accuracy: 0.160 	 Current Training Data Per Class: 0
Runner Episode: 14	Loss: 4.010520	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 15	Loss: 3.917225	Accuracy: 0.020 	 Current Training Data Per Class: 0
Runner Episode: 16	Loss: 3.774035	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 17	Loss: 3.860512	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 18	Loss: 3.897747	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 19	Loss: 3.939907	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 20	Loss: 3.952747	Accuracy: 0.190 	 Current Training Data Per Class: 0
