Runner Episode: 1	Loss: 3.760491	Accuracy: 0.080 	 Current Training Data Per Class: 0
Runner Episode: 2	Loss: 3.894405	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 3	Loss: 3.841124	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 4	Loss: 3.917606	Accuracy: 0.010 	 Current Training Data Per Class: 0
Runner Episode: 5	Loss: 3.848079	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 6	Loss: 3.949016	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 7	Loss: 3.944045	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 8	Loss: 3.886835	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 9	Loss: 3.961159	Accuracy: 0.020 	 Current Training Data Per Class: 0
Runner Episode: 10	Loss: 3.830496	Accuracy: 0.080 	 Current Training Data Per Class: 0
Runner Episode: 11	Loss: 3.796074	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 12	Loss: 3.891726	Accuracy: 0.050 	 Current Training Data Per Class: 0
Runner Episode: 13	Loss: 3.882928	Accuracy: 0.070 	 Current Training Data Per Class: 0
Runner Episode: 14	Loss: 4.046238	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 15	Loss: 3.930758	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 16	Loss: 3.926339	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 17	Loss: 3.833129	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 18	Loss: 3.989350	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 19	Loss: 3.902344	Accuracy: 0.010 	 Current Training Data Per Class: 0
Runner Episode: 20	Loss: 3.932381	Accuracy: 0.000 	 Current Training Data Per Class: 0
