Runner Episode: 1	Loss: 3.764279	Accuracy: 0.080 	 Current Training Data Per Class: 0
Runner Episode: 2	Loss: 3.894162	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 3	Loss: 3.841714	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 4	Loss: 3.917229	Accuracy: 0.010 	 Current Training Data Per Class: 0
Runner Episode: 5	Loss: 3.847100	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 6	Loss: 3.949727	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 7	Loss: 3.943137	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 8	Loss: 3.881752	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 9	Loss: 3.959956	Accuracy: 0.020 	 Current Training Data Per Class: 0
Runner Episode: 10	Loss: 3.831363	Accuracy: 0.070 	 Current Training Data Per Class: 0
Runner Episode: 11	Loss: 3.790536	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 12	Loss: 3.888448	Accuracy: 0.040 	 Current Training Data Per Class: 0
Runner Episode: 13	Loss: 3.881619	Accuracy: 0.070 	 Current Training Data Per Class: 0
Runner Episode: 14	Loss: 4.045029	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 15	Loss: 3.937171	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 16	Loss: 3.925735	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 17	Loss: 3.837929	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 18	Loss: 3.996121	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 19	Loss: 3.904017	Accuracy: 0.010 	 Current Training Data Per Class: 0
Runner Episode: 20	Loss: 3.936234	Accuracy: 0.000 	 Current Training Data Per Class: 0
