Runner Episode: 1	Loss: 1.301314	Accuracy: 0.560 	 Current Training Data Per Class: 5
Runner Episode: 2	Loss: 2.697607	Accuracy: 0.220 	 Current Training Data Per Class: 5
Runner Episode: 3	Loss: 2.104658	Accuracy: 0.220 	 Current Training Data Per Class: 5
Runner Episode: 4	Loss: 2.272397	Accuracy: 0.230 	 Current Training Data Per Class: 5
Runner Episode: 5	Loss: 2.142658	Accuracy: 0.410 	 Current Training Data Per Class: 5
Runner Episode: 6	Loss: 2.232555	Accuracy: 0.320 	 Current Training Data Per Class: 5
Runner Episode: 7	Loss: 2.519731	Accuracy: 0.230 	 Current Training Data Per Class: 5
Runner Episode: 8	Loss: 2.388962	Accuracy: 0.200 	 Current Training Data Per Class: 5
Runner Episode: 9	Loss: 2.236128	Accuracy: 0.200 	 Current Training Data Per Class: 5
Runner Episode: 10	Loss: 2.512952	Accuracy: 0.200 	 Current Training Data Per Class: 5
Runner Episode: 11	Loss: 2.450405	Accuracy: 0.200 	 Current Training Data Per Class: 5
Runner Episode: 12	Loss: 1.991911	Accuracy: 0.400 	 Current Training Data Per Class: 5
Runner Episode: 13	Loss: 2.459366	Accuracy: 0.220 	 Current Training Data Per Class: 5
Runner Episode: 14	Loss: 2.228510	Accuracy: 0.400 	 Current Training Data Per Class: 5
Runner Episode: 15	Loss: 2.192409	Accuracy: 0.210 	 Current Training Data Per Class: 5
Runner Episode: 16	Loss: 1.910256	Accuracy: 0.550 	 Current Training Data Per Class: 5
Runner Episode: 17	Loss: 2.290963	Accuracy: 0.220 	 Current Training Data Per Class: 5
Runner Episode: 18	Loss: 1.999565	Accuracy: 0.400 	 Current Training Data Per Class: 5
Runner Episode: 19	Loss: 1.964648	Accuracy: 0.380 	 Current Training Data Per Class: 5
Runner Episode: 20	Loss: 3.060532	Accuracy: 0.200 	 Current Training Data Per Class: 5
