Runner Episode: 1	Loss: 35.088875	Accuracy: 0.400 	 Current Training Data Per Class: 180
Runner Episode: 2	Loss: 1.911868	Accuracy: 0.440 	 Current Training Data Per Class: 180
Runner Episode: 3	Loss: 394.495697	Accuracy: 0.200 	 Current Training Data Per Class: 180
Runner Episode: 4	Loss: 2.044128	Accuracy: 0.200 	 Current Training Data Per Class: 180
Runner Episode: 5	Loss: 1.937036	Accuracy: 0.400 	 Current Training Data Per Class: 180
Runner Episode: 6	Loss: 1.964917	Accuracy: 0.250 	 Current Training Data Per Class: 180
Runner Episode: 7	Loss: 12.950130	Accuracy: 0.200 	 Current Training Data Per Class: 180
Runner Episode: 8	Loss: 192.164978	Accuracy: 0.200 	 Current Training Data Per Class: 180
Runner Episode: 9	Loss: 2.075761	Accuracy: 0.200 	 Current Training Data Per Class: 180
Runner Episode: 10	Loss: 1.379018	Accuracy: 0.410 	 Current Training Data Per Class: 180
Runner Episode: 11	Loss: 2.556743	Accuracy: 0.200 	 Current Training Data Per Class: 180
Runner Episode: 12	Loss: 1.886851	Accuracy: 0.400 	 Current Training Data Per Class: 180
Runner Episode: 13	Loss: 264.858154	Accuracy: 0.200 	 Current Training Data Per Class: 180
Runner Episode: 14	Loss: 1.336221	Accuracy: 0.480 	 Current Training Data Per Class: 180
Runner Episode: 15	Loss: 1.739806	Accuracy: 0.240 	 Current Training Data Per Class: 180
Runner Episode: 16	Loss: 1.209522	Accuracy: 0.400 	 Current Training Data Per Class: 180
Runner Episode: 17	Loss: 558.858643	Accuracy: 0.200 	 Current Training Data Per Class: 180
Runner Episode: 18	Loss: 1.261681	Accuracy: 0.430 	 Current Training Data Per Class: 180
Runner Episode: 19	Loss: 3.982087	Accuracy: 0.200 	 Current Training Data Per Class: 180
Runner Episode: 20	Loss: 1.261229	Accuracy: 0.460 	 Current Training Data Per Class: 180
