Runner Episode: 1	Loss: 3.952162	Accuracy: 0.000 	 Current Training Data Per Class: 40	Loss_2: 1.506602	Accuracy_2: 0.330	 Current Training Data Per Class_2: 40
Runner Episode: 2	Loss: 3.954658	Accuracy: 0.000 	 Current Training Data Per Class: 40	Loss_2: 1.563122	Accuracy_2: 0.390	 Current Training Data Per Class_2: 40
Runner Episode: 3	Loss: 4.642263	Accuracy: 0.000 	 Current Training Data Per Class: 40	Loss_2: 1.562132	Accuracy_2: 0.480	 Current Training Data Per Class_2: 40
Runner Episode: 4	Loss: 4.140586	Accuracy: 0.000 	 Current Training Data Per Class: 40	Loss_2: 1.403440	Accuracy_2: 0.550	 Current Training Data Per Class_2: 40
Runner Episode: 5	Loss: 4.313890	Accuracy: 0.000 	 Current Training Data Per Class: 40	Loss_2: 1.521561	Accuracy_2: 0.550	 Current Training Data Per Class_2: 40
Runner Episode: 6	Loss: 4.356705	Accuracy: 0.000 	 Current Training Data Per Class: 40	Loss_2: 1.415091	Accuracy_2: 0.390	 Current Training Data Per Class_2: 40
Runner Episode: 7	Loss: 4.310641	Accuracy: 0.000 	 Current Training Data Per Class: 40	Loss_2: 1.332761	Accuracy_2: 0.620	 Current Training Data Per Class_2: 40
Runner Episode: 8	Loss: 4.401864	Accuracy: 0.000 	 Current Training Data Per Class: 40	Loss_2: 1.387532	Accuracy_2: 0.620	 Current Training Data Per Class_2: 40
Runner Episode: 9	Loss: 3.790521	Accuracy: 0.000 	 Current Training Data Per Class: 40	Loss_2: 1.384038	Accuracy_2: 0.510	 Current Training Data Per Class_2: 40
Runner Episode: 10	Loss: 4.413032	Accuracy: 0.000 	 Current Training Data Per Class: 40	Loss_2: 1.863276	Accuracy_2: 0.320	 Current Training Data Per Class_2: 40
Runner Episode: 11	Loss: 4.243055	Accuracy: 0.000 	 Current Training Data Per Class: 40	Loss_2: 1.547259	Accuracy_2: 0.430	 Current Training Data Per Class_2: 40
Runner Episode: 12	Loss: 4.309541	Accuracy: 0.000 	 Current Training Data Per Class: 40	Loss_2: 1.877068	Accuracy_2: 0.320	 Current Training Data Per Class_2: 40
Runner Episode: 13	Loss: 4.292876	Accuracy: 0.000 	 Current Training Data Per Class: 40	Loss_2: 1.418419	Accuracy_2: 0.500	 Current Training Data Per Class_2: 40
Runner Episode: 14	Loss: 4.345590	Accuracy: 0.000 	 Current Training Data Per Class: 40	Loss_2: 1.613188	Accuracy_2: 0.470	 Current Training Data Per Class_2: 40
Runner Episode: 15	Loss: 3.689963	Accuracy: 0.000 	 Current Training Data Per Class: 40	Loss_2: 1.642874	Accuracy_2: 0.260	 Current Training Data Per Class_2: 40
Runner Episode: 16	Loss: 4.443657	Accuracy: 0.000 	 Current Training Data Per Class: 40	Loss_2: 1.561066	Accuracy_2: 0.530	 Current Training Data Per Class_2: 40
Runner Episode: 17	Loss: 4.254458	Accuracy: 0.000 	 Current Training Data Per Class: 40	Loss_2: 1.523603	Accuracy_2: 0.520	 Current Training Data Per Class_2: 40
Runner Episode: 18	Loss: 4.694194	Accuracy: 0.000 	 Current Training Data Per Class: 40	Loss_2: 1.324461	Accuracy_2: 0.490	 Current Training Data Per Class_2: 40
Runner Episode: 19	Loss: 4.055798	Accuracy: 0.000 	 Current Training Data Per Class: 40	Loss_2: 1.575654	Accuracy_2: 0.540	 Current Training Data Per Class_2: 40
Runner Episode: 20	Loss: 3.757266	Accuracy: 0.000 	 Current Training Data Per Class: 40	Loss_2: 1.852275	Accuracy_2: 0.260	 Current Training Data Per Class_2: 40
