Runner Episode: 1	Loss: 1.079503	Accuracy: 0.630 	 Current Training Data Per Class: 40	Loss_2: 5.191230	Accuracy_2: 0.110	 Current Training Data Per Class_2: 10
Runner Episode: 2	Loss: 0.849461	Accuracy: 0.830 	 Current Training Data Per Class: 40	Loss_2: 5.764147	Accuracy_2: 0.000	 Current Training Data Per Class_2: 10
Runner Episode: 3	Loss: 1.275489	Accuracy: 0.620 	 Current Training Data Per Class: 40	Loss_2: 4.472362	Accuracy_2: 0.050	 Current Training Data Per Class_2: 10
Runner Episode: 4	Loss: 0.915835	Accuracy: 0.750 	 Current Training Data Per Class: 40	Loss_2: 4.565233	Accuracy_2: 0.000	 Current Training Data Per Class_2: 10
Runner Episode: 5	Loss: 0.622590	Accuracy: 0.790 	 Current Training Data Per Class: 40	Loss_2: 6.589028	Accuracy_2: 0.000	 Current Training Data Per Class_2: 10
Runner Episode: 6	Loss: 1.032679	Accuracy: 0.690 	 Current Training Data Per Class: 40	Loss_2: 7.469588	Accuracy_2: 0.000	 Current Training Data Per Class_2: 10
Runner Episode: 7	Loss: 0.706291	Accuracy: 0.780 	 Current Training Data Per Class: 40	Loss_2: 8.396364	Accuracy_2: 0.000	 Current Training Data Per Class_2: 10
Runner Episode: 8	Loss: 0.582148	Accuracy: 0.780 	 Current Training Data Per Class: 40	Loss_2: 8.556124	Accuracy_2: 0.000	 Current Training Data Per Class_2: 10
Runner Episode: 9	Loss: 0.610965	Accuracy: 0.740 	 Current Training Data Per Class: 40	Loss_2: 5.486604	Accuracy_2: 0.000	 Current Training Data Per Class_2: 10
Runner Episode: 10	Loss: 0.519269	Accuracy: 0.810 	 Current Training Data Per Class: 40	Loss_2: 3.844759	Accuracy_2: 0.090	 Current Training Data Per Class_2: 10
Runner Episode: 11	Loss: 0.559425	Accuracy: 0.820 	 Current Training Data Per Class: 40	Loss_2: 7.691097	Accuracy_2: 0.000	 Current Training Data Per Class_2: 10
Runner Episode: 12	Loss: 0.783211	Accuracy: 0.710 	 Current Training Data Per Class: 40	Loss_2: 5.537395	Accuracy_2: 0.000	 Current Training Data Per Class_2: 10
Runner Episode: 13	Loss: 0.854069	Accuracy: 0.720 	 Current Training Data Per Class: 40	Loss_2: 6.056612	Accuracy_2: 0.000	 Current Training Data Per Class_2: 10
Runner Episode: 14	Loss: 0.870960	Accuracy: 0.710 	 Current Training Data Per Class: 40	Loss_2: 4.519547	Accuracy_2: 0.000	 Current Training Data Per Class_2: 10
Runner Episode: 15	Loss: 0.499422	Accuracy: 0.850 	 Current Training Data Per Class: 40	Loss_2: 6.242548	Accuracy_2: 0.000	 Current Training Data Per Class_2: 10
Runner Episode: 16	Loss: 0.717677	Accuracy: 0.740 	 Current Training Data Per Class: 40	Loss_2: 6.768057	Accuracy_2: 0.000	 Current Training Data Per Class_2: 10
Runner Episode: 17	Loss: 1.245885	Accuracy: 0.620 	 Current Training Data Per Class: 40	Loss_2: 3.970254	Accuracy_2: 0.050	 Current Training Data Per Class_2: 10
Runner Episode: 18	Loss: 0.897709	Accuracy: 0.670 	 Current Training Data Per Class: 40	Loss_2: 5.758214	Accuracy_2: 0.000	 Current Training Data Per Class_2: 10
Runner Episode: 19	Loss: 1.450401	Accuracy: 0.550 	 Current Training Data Per Class: 40	Loss_2: 5.586939	Accuracy_2: 0.000	 Current Training Data Per Class_2: 10
Runner Episode: 20	Loss: 0.384735	Accuracy: 0.830 	 Current Training Data Per Class: 40	Loss_2: 4.999501	Accuracy_2: 0.040	 Current Training Data Per Class_2: 10
