Runner Episode: 1	Loss: 3.759181	Accuracy: 0.002 	 Current Training Data Per Class: 0
Runner Episode: 2	Loss: 4.021750	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 3	Loss: 3.671156	Accuracy: 0.114 	 Current Training Data Per Class: 0
Runner Episode: 4	Loss: 3.936890	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 5	Loss: 3.890678	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 6	Loss: 4.040812	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 7	Loss: 3.887171	Accuracy: 0.024 	 Current Training Data Per Class: 0
Runner Episode: 8	Loss: 3.881822	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 9	Loss: 3.961067	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 10	Loss: 3.939172	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 11	Loss: 3.859355	Accuracy: 0.006 	 Current Training Data Per Class: 0
Runner Episode: 12	Loss: 3.906846	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 13	Loss: 3.786447	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 14	Loss: 3.807097	Accuracy: 0.006 	 Current Training Data Per Class: 0
Runner Episode: 15	Loss: 3.871260	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 16	Loss: 3.876046	Accuracy: 0.002 	 Current Training Data Per Class: 0
Runner Episode: 17	Loss: 3.931733	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 18	Loss: 3.951048	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 19	Loss: 3.898630	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 20	Loss: 3.864666	Accuracy: 0.052 	 Current Training Data Per Class: 0
