Runner Episode: 1	Loss: 3.879690	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 2	Loss: 3.850267	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 3	Loss: 3.772221	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 4	Loss: 3.860611	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 5	Loss: 4.058724	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 6	Loss: 3.863483	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 7	Loss: 3.947533	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 8	Loss: 3.948879	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 9	Loss: 3.937742	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 10	Loss: 3.919583	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 11	Loss: 3.925504	Accuracy: 0.002 	 Current Training Data Per Class: 0
Runner Episode: 12	Loss: 3.781850	Accuracy: 0.104 	 Current Training Data Per Class: 0
Runner Episode: 13	Loss: 3.808496	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 14	Loss: 3.751041	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 15	Loss: 3.758482	Accuracy: 0.112 	 Current Training Data Per Class: 0
Runner Episode: 16	Loss: 3.936817	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 17	Loss: 3.928773	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 18	Loss: 3.921157	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 19	Loss: 3.813362	Accuracy: 0.024 	 Current Training Data Per Class: 0
Runner Episode: 20	Loss: 3.858221	Accuracy: 0.000 	 Current Training Data Per Class: 0
