Runner Episode: 1	Loss: 1.878310	Accuracy: 0.200 	 Current Training Data Per Class: 110
Runner Episode: 2	Loss: 1.828847	Accuracy: 0.200 	 Current Training Data Per Class: 110
Runner Episode: 3	Loss: 1.641314	Accuracy: 0.400 	 Current Training Data Per Class: 110
Runner Episode: 4	Loss: 2.391922	Accuracy: 0.200 	 Current Training Data Per Class: 110
Runner Episode: 5	Loss: 1.647912	Accuracy: 0.400 	 Current Training Data Per Class: 110
Runner Episode: 6	Loss: 1.807586	Accuracy: 0.200 	 Current Training Data Per Class: 110
Runner Episode: 7	Loss: 1.916268	Accuracy: 0.280 	 Current Training Data Per Class: 110
Runner Episode: 8	Loss: 2.221265	Accuracy: 0.200 	 Current Training Data Per Class: 110
Runner Episode: 9	Loss: 1.643379	Accuracy: 0.350 	 Current Training Data Per Class: 110
Runner Episode: 10	Loss: 1.968240	Accuracy: 0.200 	 Current Training Data Per Class: 110
Runner Episode: 11	Loss: 1.766683	Accuracy: 0.350 	 Current Training Data Per Class: 110
Runner Episode: 12	Loss: 1.969324	Accuracy: 0.200 	 Current Training Data Per Class: 110
Runner Episode: 13	Loss: 1.682120	Accuracy: 0.400 	 Current Training Data Per Class: 110
Runner Episode: 14	Loss: 2.382480	Accuracy: 0.200 	 Current Training Data Per Class: 110
Runner Episode: 15	Loss: 2.093518	Accuracy: 0.200 	 Current Training Data Per Class: 110
Runner Episode: 16	Loss: 2.156406	Accuracy: 0.200 	 Current Training Data Per Class: 110
Runner Episode: 17	Loss: 1.792193	Accuracy: 0.200 	 Current Training Data Per Class: 110
Runner Episode: 18	Loss: 2.229259	Accuracy: 0.200 	 Current Training Data Per Class: 110
Runner Episode: 19	Loss: 1.851980	Accuracy: 0.200 	 Current Training Data Per Class: 110
Runner Episode: 20	Loss: 1.969772	Accuracy: 0.200 	 Current Training Data Per Class: 110
