Runner Episode: 1	Loss: 2.277026	Accuracy: 0.200 	 Current Training Data Per Class: 150
Runner Episode: 2	Loss: 2.395872	Accuracy: 0.250 	 Current Training Data Per Class: 150
Runner Episode: 3	Loss: 1.830506	Accuracy: 0.490 	 Current Training Data Per Class: 150
Runner Episode: 4	Loss: 2.364502	Accuracy: 0.210 	 Current Training Data Per Class: 150
Runner Episode: 5	Loss: 2.098042	Accuracy: 0.400 	 Current Training Data Per Class: 150
Runner Episode: 6	Loss: 2.241472	Accuracy: 0.200 	 Current Training Data Per Class: 150
Runner Episode: 7	Loss: 2.220015	Accuracy: 0.200 	 Current Training Data Per Class: 150
Runner Episode: 8	Loss: 2.258178	Accuracy: 0.240 	 Current Training Data Per Class: 150
Runner Episode: 9	Loss: 2.156926	Accuracy: 0.400 	 Current Training Data Per Class: 150
Runner Episode: 10	Loss: 2.268597	Accuracy: 0.220 	 Current Training Data Per Class: 150
Runner Episode: 11	Loss: 2.427215	Accuracy: 0.360 	 Current Training Data Per Class: 150
Runner Episode: 12	Loss: 2.226736	Accuracy: 0.200 	 Current Training Data Per Class: 150
Runner Episode: 13	Loss: 1.967056	Accuracy: 0.400 	 Current Training Data Per Class: 150
Runner Episode: 14	Loss: 2.486041	Accuracy: 0.200 	 Current Training Data Per Class: 150
Runner Episode: 15	Loss: 2.123234	Accuracy: 0.360 	 Current Training Data Per Class: 150
Runner Episode: 16	Loss: 2.325394	Accuracy: 0.200 	 Current Training Data Per Class: 150
Runner Episode: 17	Loss: 2.020703	Accuracy: 0.400 	 Current Training Data Per Class: 150
Runner Episode: 18	Loss: 2.259712	Accuracy: 0.200 	 Current Training Data Per Class: 150
Runner Episode: 19	Loss: 2.128110	Accuracy: 0.230 	 Current Training Data Per Class: 150
Runner Episode: 20	Loss: 2.362410	Accuracy: 0.200 	 Current Training Data Per Class: 150
