Runner Episode: 1	Loss: 3.736482	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 2	Loss: 3.829871	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 3	Loss: 3.920756	Accuracy: 0.002 	 Current Training Data Per Class: 0
Runner Episode: 4	Loss: 3.784686	Accuracy: 0.180 	 Current Training Data Per Class: 0
Runner Episode: 5	Loss: 3.891020	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 6	Loss: 3.751765	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 7	Loss: 3.853964	Accuracy: 0.002 	 Current Training Data Per Class: 0
Runner Episode: 8	Loss: 3.877936	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 9	Loss: 3.749818	Accuracy: 0.036 	 Current Training Data Per Class: 0
Runner Episode: 10	Loss: 3.877240	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 11	Loss: 3.926411	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 12	Loss: 3.945740	Accuracy: 0.002 	 Current Training Data Per Class: 0
Runner Episode: 13	Loss: 3.976450	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 14	Loss: 3.918950	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 15	Loss: 3.864714	Accuracy: 0.010 	 Current Training Data Per Class: 0
Runner Episode: 16	Loss: 3.868996	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 17	Loss: 3.896088	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 18	Loss: 3.876445	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 19	Loss: 4.031783	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 20	Loss: 3.918704	Accuracy: 0.178 	 Current Training Data Per Class: 0
