Runner Episode: 1	Loss: 4.995765	Accuracy: 0.000 	 Current Training Data Per Class: 40	Loss_2: 1.099569	Accuracy_2: 0.650	 Current Training Data Per Class_2: 90
Runner Episode: 2	Loss: 3.453002	Accuracy: 0.000 	 Current Training Data Per Class: 40	Loss_2: 1.030886	Accuracy_2: 0.670	 Current Training Data Per Class_2: 90
Runner Episode: 3	Loss: 3.287296	Accuracy: 0.070 	 Current Training Data Per Class: 40	Loss_2: 1.731930	Accuracy_2: 0.600	 Current Training Data Per Class_2: 90
Runner Episode: 4	Loss: 3.266360	Accuracy: 0.040 	 Current Training Data Per Class: 40	Loss_2: 1.990582	Accuracy_2: 0.510	 Current Training Data Per Class_2: 90
Runner Episode: 5	Loss: 4.538603	Accuracy: 0.000 	 Current Training Data Per Class: 40	Loss_2: 0.873149	Accuracy_2: 0.730	 Current Training Data Per Class_2: 90
Runner Episode: 6	Loss: 4.458624	Accuracy: 0.010 	 Current Training Data Per Class: 40	Loss_2: 0.626519	Accuracy_2: 0.750	 Current Training Data Per Class_2: 90
Runner Episode: 7	Loss: 3.765964	Accuracy: 0.050 	 Current Training Data Per Class: 40	Loss_2: 0.601080	Accuracy_2: 0.830	 Current Training Data Per Class_2: 90
Runner Episode: 8	Loss: 3.311052	Accuracy: 0.000 	 Current Training Data Per Class: 40	Loss_2: 0.891132	Accuracy_2: 0.680	 Current Training Data Per Class_2: 90
Runner Episode: 9	Loss: 2.486418	Accuracy: 0.000 	 Current Training Data Per Class: 40	Loss_2: 1.345689	Accuracy_2: 0.530	 Current Training Data Per Class_2: 90
Runner Episode: 10	Loss: 3.748253	Accuracy: 0.050 	 Current Training Data Per Class: 40	Loss_2: 0.915445	Accuracy_2: 0.640	 Current Training Data Per Class_2: 90
Runner Episode: 11	Loss: 4.197522	Accuracy: 0.000 	 Current Training Data Per Class: 40	Loss_2: 1.273952	Accuracy_2: 0.680	 Current Training Data Per Class_2: 90
Runner Episode: 12	Loss: 3.215024	Accuracy: 0.000 	 Current Training Data Per Class: 40	Loss_2: 1.948370	Accuracy_2: 0.560	 Current Training Data Per Class_2: 90
Runner Episode: 13	Loss: 5.032624	Accuracy: 0.000 	 Current Training Data Per Class: 40	Loss_2: 0.795818	Accuracy_2: 0.730	 Current Training Data Per Class_2: 90
Runner Episode: 14	Loss: 4.318316	Accuracy: 0.000 	 Current Training Data Per Class: 40	Loss_2: 0.693444	Accuracy_2: 0.780	 Current Training Data Per Class_2: 90
Runner Episode: 15	Loss: 3.476883	Accuracy: 0.160 	 Current Training Data Per Class: 40	Loss_2: 0.699676	Accuracy_2: 0.780	 Current Training Data Per Class_2: 90
Runner Episode: 16	Loss: 4.602869	Accuracy: 0.010 	 Current Training Data Per Class: 40	Loss_2: 1.563760	Accuracy_2: 0.610	 Current Training Data Per Class_2: 90
Runner Episode: 17	Loss: 2.835524	Accuracy: 0.070 	 Current Training Data Per Class: 40	Loss_2: 2.241068	Accuracy_2: 0.510	 Current Training Data Per Class_2: 90
Runner Episode: 18	Loss: 2.759900	Accuracy: 0.060 	 Current Training Data Per Class: 40	Loss_2: 1.436760	Accuracy_2: 0.610	 Current Training Data Per Class_2: 90
Runner Episode: 19	Loss: 3.276528	Accuracy: 0.000 	 Current Training Data Per Class: 40	Loss_2: 1.534144	Accuracy_2: 0.690	 Current Training Data Per Class_2: 90
Runner Episode: 20	Loss: 2.275741	Accuracy: 0.100 	 Current Training Data Per Class: 40	Loss_2: 1.035521	Accuracy_2: 0.630	 Current Training Data Per Class_2: 90
