Train Episode: 1	Loss: 1.363778	Accuracy: 0.400	 Current training data per class: 50
Train Episode: 2	Loss: 1.669278	Accuracy: 0.220	 Current training data per class: 50
Train Episode: 3	Loss: 1.666698	Accuracy: 0.200	 Current training data per class: 50
Train Episode: 4	Loss: 1.836221	Accuracy: 0.200	 Current training data per class: 50
Train Episode: 5	Loss: 4.238433	Accuracy: 0.200	 Current training data per class: 50
Train Episode: 6	Loss: 1.688206	Accuracy: 0.200	 Current training data per class: 50
Train Episode: 7	Loss: 1.286943	Accuracy: 0.390	 Current training data per class: 50
Train Episode: 8	Loss: 1.706386	Accuracy: 0.210	 Current training data per class: 50
Train Episode: 9	Loss: 1.676982	Accuracy: 0.200	 Current training data per class: 50
Train Episode: 10	Loss: 1.733088	Accuracy: 0.200	 Current training data per class: 50
Train Episode: 11	Loss: 3.085820	Accuracy: 0.350	 Current training data per class: 50
Train Episode: 12	Loss: 1.182825	Accuracy: 0.380	 Current training data per class: 50
Train Episode: 13	Loss: 1.269447	Accuracy: 0.440	 Current training data per class: 50
Train Episode: 14	Loss: 1.733814	Accuracy: 0.200	 Current training data per class: 50
Train Episode: 15	Loss: 1.695152	Accuracy: 0.200	 Current training data per class: 50
Train Episode: 16	Loss: 1.678135	Accuracy: 0.200	 Current training data per class: 50
Train Episode: 17	Loss: 1.763380	Accuracy: 0.290	 Current training data per class: 50
Train Episode: 18	Loss: 1.390262	Accuracy: 0.210	 Current training data per class: 50
Train Episode: 19	Loss: 1.690576	Accuracy: 0.200	 Current training data per class: 50
Train Episode: 20	Loss: 1.778432	Accuracy: 0.360	 Current training data per class: 50
