Train Episode: 1	Loss: 2.668012	Accuracy: 0.420	 Current training data per class: 225
Train Episode: 2	Loss: 2.777811	Accuracy: 0.200	 Current training data per class: 225
Train Episode: 3	Loss: 2.925001	Accuracy: 0.330	 Current training data per class: 225
Train Episode: 4	Loss: 1.957805	Accuracy: 0.400	 Current training data per class: 225
Train Episode: 5	Loss: 2.641491	Accuracy: 0.200	 Current training data per class: 225
Train Episode: 6	Loss: 2.370705	Accuracy: 0.220	 Current training data per class: 225
Train Episode: 7	Loss: 2.558151	Accuracy: 0.300	 Current training data per class: 225
Train Episode: 8	Loss: 2.511225	Accuracy: 0.200	 Current training data per class: 225
Train Episode: 9	Loss: 2.731023	Accuracy: 0.220	 Current training data per class: 225
Train Episode: 10	Loss: 2.638911	Accuracy: 0.290	 Current training data per class: 225
Train Episode: 11	Loss: 2.952905	Accuracy: 0.220	 Current training data per class: 225
Train Episode: 12	Loss: 2.251035	Accuracy: 0.430	 Current training data per class: 225
Train Episode: 13	Loss: 2.519624	Accuracy: 0.200	 Current training data per class: 225
Train Episode: 14	Loss: 2.700197	Accuracy: 0.200	 Current training data per class: 225
Train Episode: 15	Loss: 2.437790	Accuracy: 0.320	 Current training data per class: 225
Train Episode: 16	Loss: 2.316418	Accuracy: 0.300	 Current training data per class: 225
Train Episode: 17	Loss: 3.184001	Accuracy: 0.220	 Current training data per class: 225
Train Episode: 18	Loss: 2.513592	Accuracy: 0.210	 Current training data per class: 225
Train Episode: 19	Loss: 2.922716	Accuracy: 0.430	 Current training data per class: 225
Train Episode: 20	Loss: 1.924132	Accuracy: 0.400	 Current training data per class: 225
