Runner Episode: 1	Loss: 0.965383	Accuracy: 0.700 	 Current Training Data Per Class: 10
Runner Episode: 2	Loss: 2.124843	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 3	Loss: 1.906526	Accuracy: 0.220 	 Current Training Data Per Class: 10
Runner Episode: 4	Loss: 2.024354	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 5	Loss: 2.878018	Accuracy: 0.400 	 Current Training Data Per Class: 10
Runner Episode: 6	Loss: 2.066211	Accuracy: 0.210 	 Current Training Data Per Class: 10
Runner Episode: 7	Loss: 2.156461	Accuracy: 0.150 	 Current Training Data Per Class: 10
Runner Episode: 8	Loss: 1.870897	Accuracy: 0.240 	 Current Training Data Per Class: 10
Runner Episode: 9	Loss: 1.943885	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 10	Loss: 1.999175	Accuracy: 0.210 	 Current Training Data Per Class: 10
Runner Episode: 11	Loss: 2.342372	Accuracy: 0.170 	 Current Training Data Per Class: 10
Runner Episode: 12	Loss: 2.320850	Accuracy: 0.400 	 Current Training Data Per Class: 10
Runner Episode: 13	Loss: 2.128611	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 14	Loss: 1.508107	Accuracy: 0.400 	 Current Training Data Per Class: 10
Runner Episode: 15	Loss: 1.933409	Accuracy: 0.340 	 Current Training Data Per Class: 10
Runner Episode: 16	Loss: 1.507867	Accuracy: 0.400 	 Current Training Data Per Class: 10
Runner Episode: 17	Loss: 2.014881	Accuracy: 0.210 	 Current Training Data Per Class: 10
Runner Episode: 18	Loss: 1.865377	Accuracy: 0.400 	 Current Training Data Per Class: 10
Runner Episode: 19	Loss: 1.573626	Accuracy: 0.220 	 Current Training Data Per Class: 10
Runner Episode: 20	Loss: 1.942528	Accuracy: 0.200 	 Current Training Data Per Class: 10
