Runner Episode: 1	Loss: 0.393993	Accuracy: 0.840 	 Current Training Data Per Class: 250
Runner Episode: 2	Loss: 0.710545	Accuracy: 0.820 	 Current Training Data Per Class: 250
Runner Episode: 3	Loss: 0.757922	Accuracy: 0.770 	 Current Training Data Per Class: 250
Runner Episode: 4	Loss: 0.654422	Accuracy: 0.770 	 Current Training Data Per Class: 250
Runner Episode: 5	Loss: 0.534987	Accuracy: 0.860 	 Current Training Data Per Class: 250
Runner Episode: 6	Loss: 0.567310	Accuracy: 0.850 	 Current Training Data Per Class: 250
Runner Episode: 7	Loss: 0.795582	Accuracy: 0.750 	 Current Training Data Per Class: 250
Runner Episode: 8	Loss: 0.769998	Accuracy: 0.770 	 Current Training Data Per Class: 250
Runner Episode: 9	Loss: 0.699965	Accuracy: 0.800 	 Current Training Data Per Class: 250
Runner Episode: 10	Loss: 0.675477	Accuracy: 0.820 	 Current Training Data Per Class: 250
Runner Episode: 11	Loss: 0.677532	Accuracy: 0.840 	 Current Training Data Per Class: 250
Runner Episode: 12	Loss: 0.530790	Accuracy: 0.820 	 Current Training Data Per Class: 250
Runner Episode: 13	Loss: 0.605771	Accuracy: 0.860 	 Current Training Data Per Class: 250
Runner Episode: 14	Loss: 0.529444	Accuracy: 0.800 	 Current Training Data Per Class: 250
Runner Episode: 15	Loss: 0.747410	Accuracy: 0.700 	 Current Training Data Per Class: 250
Runner Episode: 16	Loss: 0.514549	Accuracy: 0.840 	 Current Training Data Per Class: 250
Runner Episode: 17	Loss: 0.668155	Accuracy: 0.740 	 Current Training Data Per Class: 250
Runner Episode: 18	Loss: 0.426878	Accuracy: 0.840 	 Current Training Data Per Class: 250
Runner Episode: 19	Loss: 0.701554	Accuracy: 0.700 	 Current Training Data Per Class: 250
Runner Episode: 20	Loss: 0.772788	Accuracy: 0.750 	 Current Training Data Per Class: 250
